,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
182,Serbia,RS,2012.0,"77,474","7,159,029",-0.49,-0.49,92.4,"-35,143",1.43,9.4,0.7,74.4,6.1,14.3,"102,400",0,0,51.26666666666667,12.866666666666667,37.43333333333334,36.06666666666667,44.53333333333333,31.73333333333333,Europe,UM
183,Singapore,SG,2012.0,709,"5,318,078",1.28,0.81,"7,500.80","42,901",1.29,11.5,0.63,83.8,1.8,3.5,"18,332",4.7,"25,000",96.1,90.7,94.1,82.8,65.1,93.3,Asia,H
184,Slovenia,SI,2012.0,"20,151","2,092,758",0.16,0.13,103.9,"2,681",1.56,10.5,0.76,79.8,3.4,9.2,"19,257",0.3,644,75.30000000000001,28.35,58.400000000000006,59.3,59.45,54.55,Europe,H
185,South Africa,ZA,2012.0,"1,214,470","52,995,725",1.19,1.29,43.6,"685,787",2.43,21.4,1.2,65.8,31,8.4,"447,450",-1.1,"-56,663",74.2,38.3,61.3,59.7,55.4,89.4,Africa,UM
186,Spain,ES,2012.0,"498,980","46,444,355",-0.2,0.11,93.1,"51,698",1.36,9.8,0.66,81.9,3,8.7,"402,950",-3.1,"-142,553",85.31428571428572,29.0,65.04285714285714,61.74285714285714,83.11428571428571,87.42857142857143,Europe,H
187,Sweden,SE,2012.0,"410,335","9,573,255",0.76,0.22,23.3,"21,239",1.89,11.8,0.92,81.7,2.6,9.6,"91,938",5.4,"51,312",106.7,34.36666666666667,80.66666666666667,90.13333333333333,116.63333333333334,99.06666666666666,Europe,H
188,Switzerland,CH,2012.0,"39,997","8,077,542",0.66,0.22,202,"17,991",1.48,10.2,0.71,82.6,3.4,7.9,"64,173",4.3,"35,096",145.325,70.9,118.55,139.0,118.35,128.3,Europe,H
189,Thailand,TH,2012.0,"510,890","67,045,539",0.54,0.46,131.2,"305,479",1.56,11.7,0.76,74.4,8.6,7.2,"481,326",0.8,"56,258",52.6,26.4,43.2,63.5,29.7,29.5,Asia,UM
190,Ukraine,UA,2012.0,"579,330","45,491,540",-0.17,-0.31,78.5,"-140,899",1.55,11.5,0.75,70.9,8.5,14.6,"663,139",1.4,"61,844",59.9,31.7,49.7,41.8,61.9,27.8,Europe,LM
191,United Arab Emirates,AE,2012.0,"83,600","8,606,553",3.67,0.92,102.9,"79,190",1.64,10.4,0.81,77.8,6.6,1.2,"10,388",27.5,"236,384",84.6,74.35,80.9,69.44999999999999,85.5,142.25,Asia,H
