,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
288,Argentina,AR,2014.0,"2,736,690","43,057,355",0.98,0.99,15.7,"424,250",2.32,17.5,1.12,76.7,10.8,7.6,"327,212",-0.1,"-4,571",71.3,19.8,46.3,66.7,66.1,57.8,South America,H
289,Armenia,AM,2014.0,"28,203","3,060,577",-0.13,0.46,108.5,"14,112",1.64,13.9,0.77,74.1,14.5,9.3,"28,488",-5.9,"-17,984",47.6,14.6,31.6,37.6,42.8,23.6,Asia,LM
290,Australia,AU,2014.0,"7,682,300","23,292,143",1.4,0.63,3,"146,117",1.81,12.9,0.88,82.2,3.3,6.6,"153,580",7.7,"178,750",106.9090909090909,53.690909090909095,81.07272727272726,103.4181818181818,99.32727272727271,104.39090909090908,Oceania,H
291,Austria,AT,2014.0,"82,445","8,615,171",0.59,-0.01,104.5,-390,1.45,9.4,0.71,81.3,3.5,9.4,"81,033",6,"51,435",84.4,32.5,59.15,83.6,73.6,101.3,Europe,H
292,Azerbaijan,AZ,2014.0,"82,629","9,881,865",1.28,1.27,119.6,"125,413",2.18,19.1,1.01,74,11,6.4,"62,846",0.1,"1,064",63.1,34.3,49.1,54.5,65.4,25.1,Asia,UM
293,Bahrain,BH,2014.0,760,"1,314,023",2.48,1.12,"1,729.00","14,750",1.81,13.9,0.89,78.6,11.7,2.7,"3,496",13.6,"17,867",60.7,33.0,47.3,59.1,62.9,71.6,Asia,H
294,Bangladesh,BD,2014.0,"130,170","152,955,073",1.02,1.41,"1,175.00","2,162,238",2.25,19.4,1.1,72.6,36.7,5.3,"806,589",-3.9,"-602,070",42.6,8.0,25.8,43.6,27.9,35.0,Asia,LM
295,Belarus,BY,2014.0,"202,900","9,663,837",0.13,-0.03,47.6,"-3,005",1.66,12.3,0.8,73.3,2.8,12.6,"121,505",1.6,"15,722",51.8,17.6,35.2,47.9,56.4,36.2,Europe,UM
296,Belgium,BE,2014.0,"30,278","11,234,661",0.77,0.16,371.1,"17,428",1.79,11.4,0.87,80.5,3.5,9.9,"110,942",6.1,"68,509",97.825,34.825,67.225,89.15,105.775,90.525,Europe,H
297,Bolivia,BO,2014.0,"1,083,301","10,762,990",1.68,1.79,9.9,"192,211",2.95,23.7,1.44,72,26.5,5.9,"63,290",-1.1,"-11,595",38.7,11.9,25.7,38.6,22.9,44.3,South America,LM
298,Botswana,BW,2014.0,"566,730","2,112,235",1.61,1.3,3.7,"27,489",2.71,23.3,1.33,61.5,33.1,10.2,"21,627",3.1,"6,549",49.2,14.7,32.4,44.8,40.2,45.4,Africa,UM
299,Brazil,BR,2014.0,"8,358,140","204,830,402",0.87,0.86,24.5,"1,764,941",1.78,14.6,0.87,74.8,14.8,6,"1,229,676",0.1,"17,978",60.58181818181818,21.154545454545453,41.43636363636364,49.24545454545455,48.31818181818182,49.39090909090908,South America,UM
300,Bulgaria,BG,2014.0,"108,489","7,228,135",-0.57,-0.54,66.6,"-38,783",1.44,9.1,0.7,74.3,8.8,14.4,"104,173",-0.3,"-2,112",48.36666666666667,10.3,29.866666666666664,44.03333333333333,38.36666666666667,36.66666666666666,Europe,UM
301,Cambodia,KH,2014.0,"176,515","14,966,008",1.05,1.9,84.8,"283,884",2.64,25.1,1.29,68.4,35.6,6.1,"91,485",-8.5,"-126,457",60.2,20.2,40.8,75.1,27.4,18.2,Asia,L
302,Canada,CA,2014.0,"9,093,507","35,748,891",0.87,0.35,3.9,"125,279",1.61,10.7,0.78,83.3,4.9,7.2,"258,821",5.2,"186,591",89.024,33.48,62.044,97.288,75.836,102.02,North America,H
303,Chile,CL,2014.0,"743,812","17,363,760",0.84,0.8,23.3,"139,179",1.84,13.9,0.9,78.4,7.4,5.9,"102,841",0.4,"6,000",60.9,19.6,40.8,55.2,50.2,54.4,South America,H
304,China,CN,2014.0,"9,326,410","1,369,685,822",0.54,0.55,146.9,"7,553,920",1.57,12.3,0.73,76.5,9.8,6.8,"9,321,243",-0.2,"-210,000",59.17142857142857,26.728571428571428,43.4,63.642857142857146,40.957142857142856,43.82857142857143,Asia,UM
305,Colombia,CO,2014.0,"1,038,700","44,901,421",0.63,1.1,43.2,"494,597",1.97,16.3,0.96,76.9,13.3,5.3,"235,751",-4.7,"-212,555",52.6,17.1,35.3,49.05,38.0,33.8,South America,UM
306,Costa Rica,CR,2014.0,"51,060","4,771,560",1.26,1.08,93.5,"51,274",1.82,15.1,0.89,79.1,8,4.3,"20,520",1.8,"8,737",70.1,23.1,47.3,74.8,58.9,34.3,North America,UM
307,Croatia,HR,2014.0,"55,974","4,356,748",-0.49,-0.26,77.8,"-11,273",1.37,9.1,0.67,75.4,10,11.7,"50,839",-2.4,"-10,220",67.46000000000001,13.419999999999998,41.2,63.4,50.46,48.86,Europe,H
308,Cyprus,CY,2014.0,"9,241","1,172,653",1.48,0.49,126.9,"5,759",1.46,11.4,0.71,78.3,9.8,6.5,"7,643",9.9,"11,595",91.46666666666664,20.83333333333333,57.16666666666666,84.03333333333333,91.1,65.8,Europe,H
309,Denmark,DK,2014.0,"42,434","5,647,207",0.6,0.1,133.1,"5,530",1.69,10.1,0.82,80.6,4.1,9.1,"51,340",5,"28,337",113.95,36.975,76.525,99.325,135.85,99.05,Europe,H
310,Dominican Republic,DO,2014.0,"48,320","9,912,674",1.09,1.33,205.1,"131,440",2.37,19.7,1.16,70.1,25.7,6.4,"63,781",-2.4,"-23,484",58.8,15.1,37.6,59.4,44.7,39.5,North America,UM
311,Ecuador,EC,2014.0,"248,360","15,880,468",1.38,1.61,63.9,"256,008",2.56,20.6,1.25,79.7,12.2,4.5,"71,094",-2.4,"-37,477",47.65,15.55,32.05,53.45,27.1,27.1,South America,UM
312,El Salvador,SV,2014.0,"20,721","6,178,552",0.2,1.33,298.2,"82,354",2.14,19.2,1.04,73.4,14,5.9,"36,479",-11.4,"-70,232",57.1,9.6,34.1,57.3,41.0,19.9,North America,LM
313,Estonia,EE,2014.0,"42,388","1,272,393",-0.57,-0.17,30,"-2,127",1.59,10.7,0.78,76.2,3.8,12.3,"15,698",-4,"-5,099",66.65,17.7,42.85,57.8,53.75,50.55,Europe,H
314,Ethiopia,ET,2014.0,"1,096,570","91,946,018",2.96,2.75,83.8,"2,528,645",4.57,34.6,2.25,64.5,46.2,7.1,"653,276",2.1,"196,304",54.9,21.8,38.8,54.5,26.4,12.0,Africa,L
315,Finland,FI,2014.0,"303,815","5,454,465",0.43,0.11,18,"6,012",1.75,10.7,0.86,80.8,2.2,9.6,"52,444",3.2,"17,508",103.575,34.925,70.225,100.15,99.075,94.175,Europe,H
316,France,FR,2014.0,"640,427","66,293,132",0.44,0.39,103.5,"261,151",2.06,12.4,1.01,82.5,3.2,8.4,"558,878",0.5,"31,135",102.3,36.3,70.24444444444445,102.22222222222224,96.38888888888889,84.66666666666667,Europe,H
317,Georgia,GE,2014.0,"69,700","4,953,609",0.27,0.4,71.1,"19,881",2.31,17,1.11,72.6,22,13,"64,298",-1.3,"-6,543",47.8,12.8,30.8,37.5,45.5,24.2,Asia,LM
318,Germany,DE,2014.0,"348,672","82,375,634",0.5,-0.18,236.3,"-150,035",1.47,8.7,0.72,81.3,3.2,10.5,"864,962",6.8,"560,672",89.20714285714287,32.778571428571425,61.77857142857143,80.50714285714285,79.61428571428571,114.40714285714286,Europe,H
319,Ghana,GH,2014.0,"227,533","27,349,575",2.63,2.58,120.2,"705,658",4.18,33.6,2.06,66,40.5,7.8,"213,697",0.5,"12,732",63.8,40.0,52.3,69.5,58.1,14.1,Africa,LM
320,Greece,GR,2014.0,"130,647","10,801,129",-0.75,-0.2,82.7,"-21,591",1.32,8.5,0.64,80.9,3.7,10.5,"113,740",-5.5,"-58,846",84.02000000000001,15.24,50.58,73.94,82.26,44.22,Europe,H
321,Guatemala,GT,2014.0,"107,159","15,425,047",1.94,2.18,143.9,"336,530",3.18,27.1,1.55,70.8,31.1,5.2,"80,711",-2.4,"-37,500",52.9,16.4,35.2,55.4,33.3,37.7,North America,LM
322,Hungary,HU,2014.0,"89,608","9,917,924",0.19,-0.37,110.7,"-36,806",1.41,9.3,0.68,75.4,4.8,13.1,"129,467",5.6,"55,148",58.45,9.75,34.849999999999994,48.1,46.7,50.55,Europe,H
323,Iceland,IS,2014.0,"100,250","327,872",1.25,0.78,3.3,"2,554",2.03,14,0.99,82.9,1.7,6.2,"2,038",4.7,"1,535",113.8,42.3,79.0,122.9,106.7,58.6,Europe,H
324,India,IN,2014.0,"2,973,193","1,282,483,039",1.19,1.21,431.3,"15,474,576",2.33,19,1.11,69.1,39.1,7,"8,939,789",-0.2,"-276,925",27.05,6.535714285714286,17.089285714285715,29.36785714285714,16.771428571428572,59.67142857142857,Asia,LM
325,Indonesia,ID,2014.0,"1,811,569","257,934,026",1.06,1.18,142.4,"3,031,002",2.33,18.5,1.14,71,24.3,6.7,"1,736,269",-1.2,"-295,840",41.18,14.04,28.02,45.02,22.72,23.6,Asia,LM
326,Iraq,IQ,2014.0,"437,367","33,992,998",2.45,2.46,77.7,"836,929",3.94,29.8,1.92,68.7,25.8,5.2,"174,894",-0.1,"-2,924",56.85,25.4,41.55,48.0,53.6,34.5,Asia,UM
327,Ireland,IE,2014.0,"68,883","4,711,554",0.86,0.81,68.4,"38,043",1.87,14.3,0.91,81.4,3.3,6.2,"29,252",0.5,"2,412",107.03333333333336,38.13333333333333,73.56666666666666,104.8,104.06666666666666,100.73333333333332,Europe,H
328,Israel,IL,2014.0,"21,497","7,948,689",1.84,1.62,369.8,"128,832",3.13,21.3,1.53,82.2,3.2,5.1,"40,706",2.2,"17,459",94.2,31.13333333333333,63.56666666666667,80.75,96.66666666666669,70.05,Asia,H
329,Italy,IT,2014.0,"294,140","61,504,156",0.07,-0.16,209.1,"-95,768",1.3,8.2,0.63,82.6,3.1,9.7,"598,364",2.3,"141,303",98.20588235294116,32.629411764705885,66.35882352941177,86.3529411764706,104.31764705882354,71.94117647058823,Europe,H
330,Jamaica,JM,2014.0,"10,831","2,818,580",-0.12,0.95,260.2,"26,895",2.14,17.2,1.04,73.4,13.9,7.6,"21,472",-10.7,"-30,235",77.9,26.3,52.8,73.9,49.5,84.9,North America,UM
331,Japan,JP,2014.0,"364,485","126,845,084",-0.16,-0.19,348,"-242,831",1.42,8.2,0.69,83.6,2.1,10.1,"1,285,178",0.3,"36,386",91.33333333333331,38.5,65.63333333333334,94.66666666666669,59.36666666666667,103.56666666666666,Asia,H
332,Jordan,JO,2014.0,"88,802","8,998,365",9.29,2.02,101.3,"182,095",3.16,23.7,1.54,74.1,16.7,3.5,"31,310",72.6,"653,522",63.9,15.8,40.6,56.1,58.8,37.6,Asia,UM
333,Kazakhstan,KZ,2014.0,"2,699,700","18,075,103",1.41,1.48,6.7,"267,127",2.66,22.1,1.29,71.7,18.7,7.3,"132,148",-0.7,"-12,162",65.3,23.9,45.2,54.0,69.0,41.8,Asia,UM
334,Kenya,KE,2014.0,"569,140","46,653,387",2.54,2.5,82,"1,166,835",3.95,31.1,1.96,66.2,36.7,6.1,"282,484",0.4,"16,405",57.5,22.4,40.5,61.3,37.8,28.8,Africa,LM
335,Kuwait,KW,2014.0,"17,818","2,743,334",1.7,1.82,154,"49,873",2.53,20.3,1.24,77.7,8.5,2.1,"5,761",-1.1,"-3,123",83.0,40.6,62.4,105.0,59.0,85.6,Asia,H
336,Latvia,LV,2014.0,"62,249","2,007,714",-1.05,-0.42,32.3,"-8,368",1.5,10.1,0.73,74,5.4,14.3,"28,611",-6.3,"-12,708",67.8,18.4,43.8,55.2,55.8,40.8,Europe,H
337,Lebanon,LB,2014.0,"10,230","5,878,034",9.37,0.98,574.6,"57,446",1.74,14.7,0.85,77.2,8.2,5,"29,186",83.9,"493,053",73.6,36.1,55.4,57.4,75.1,40.5,Asia,UM
338,Libya,LY,2014.0,"1,759,540","6,100,968",2.13,2.16,3.5,"131,670",3.43,27.9,1.67,69.3,16.2,6.3,"38,257",-0.3,"-1,689",60.3,32.0,46.5,66.8,53.3,35.5,Africa,UM
339,Lithuania,LT,2014.0,"62,680","2,914,439",-1.03,-0.4,46.5,"-11,505",1.58,10.1,0.77,74.4,3.8,14.1,"41,049",-6.3,"-18,467",61.7,14.15,38.6,53.8,40.95,40.85,Europe,H
340,Luxembourg,LU,2014.0,"2,586","558,008",2.23,0.42,215.8,"2,360",1.61,11.3,0.78,82.4,3.4,7.1,"3,939",18,"10,066",108.9,66.6,88.4,94.1,124.9,131.2,Europe,H
341,Malaysia,MY,2014.0,"328,657","30,819,786",1.39,1.23,93.8,"378,295",2.09,17.2,1.01,75.5,6.9,4.9,"150,317",1.6,"50,000",48.94285714285714,14.342857142857143,32.142857142857146,47.3,25.814285714285717,70.41428571428571,Asia,UM
342,Malta,MT,2014.0,316,"430,028",0.92,0.21,"1,360.80",921,1.43,9.8,0.67,82,4.5,7.6,"3,270",7.1,"3,039",85.5,20.7,54.0,78.5,72.2,82.7,Europe,H
343,Mauritius,MU,2014.0,"2,030","1,293,747",0.22,0.36,637.3,"4,704",1.33,10.3,0.66,75.5,12.8,6.7,"8,642",-1.4,"-1,850",63.0,35.3,49.5,53.5,60.7,56.1,Africa,UM
344,Mexico,MX,2014.0,"1,943,945","120,751,101",1.23,1.32,62.1,"1,591,563",2.15,18.5,1.05,74.9,13.5,5.3,"638,922",-0.9,"-103,669",49.41666666666666,15.166666666666666,32.78333333333333,49.78333333333333,37.88333333333333,66.35000000000001,North America,UM
345,Moldova,MD,2014.0,"32,891","3,881,027",-0.87,-0.25,118,"-9,540",1.23,10.3,0.59,69.3,14.6,12.7,"49,422",-6.2,"-24,224",41.6,10.2,26.4,36.0,31.9,23.4,Europe,LM
346,Mongolia,MN,2014.0,"1,553,556","2,952,686",1.36,1.45,1.9,"42,672",2.22,20.8,1.08,69,23.9,6.4,"18,831",-0.9,"-2,500",58.1,27.2,43.1,59.7,39.6,25.4,Asia,UM
347,Montenegro,ME,2014.0,"13,452","620,897",-0.14,0.24,46.2,"1,515",1.78,12.1,0.85,76.6,4.9,9.7,"6,014",-3.8,"-2,352",60.1,14.5,37.9,52.7,51.4,35.6,Europe,UM
348,Morocco,MA,2014.0,"716,550","33,823,667",1.13,1.35,47.2,"456,701",2.47,20.2,1.21,71.5,23.6,6.7,"225,694",-2.3,"-76,158",46.2,20.2,33.6,38.3,36.6,33.6,Africa,LM
349,Namibia,,2014.0,"823,290","2,340,618",2.04,2.04,2.8,"47,827",3.5,28.9,1.72,62.8,38.9,8.5,"19,787",0,0,57.0,26.8,42.3,53.0,41.8,35.3,Africa,UM
350,Nepal,NP,2014.0,"143,351","28,291,654",1.31,1.52,197.4,"430,929",2.31,21,1.12,70.1,31,5.7,"162,505",-2.1,"-60,080",31.8,4.3,18.5,31.2,21.1,21.9,Asia,L
351,Netherlands,NL,2014.0,"33,893","16,822,334",0.42,0.21,496.3,"35,958",1.72,10.4,0.84,81.6,3.6,8.3,"139,223",2.1,"35,088",100.58571428571427,42.55714285714286,72.38571428571429,80.15714285714286,113.87142857142858,100.74285714285716,Europe,H
352,New Zealand,NZ,2014.0,"264,537","4,442,509",1.77,0.59,16.8,"26,180",1.99,12.9,0.96,81.4,3.9,7,"31,062",11.8,"52,438",105.53333333333336,46.16666666666666,76.7,105.26666666666668,94.46666666666664,86.66666666666667,Oceania,H
353,Nigeria,NG,2014.0,"910,768","184,193,052",2.52,2.61,202.2,"4,808,437",5.13,36.9,2.49,56.9,71.3,10.8,"1,991,639",-0.9,"-159,038",80.7,23.1,52.7,82.0,63.5,31.0,Africa,LM
354,North Macedonia,MK,2014.0,"25,433","2,099,581",0.27,0.19,82.6,"3,878",1.5,11.2,0.73,75.3,9.5,9.4,"19,718",0.8,"1,699",49.1,11.3,30.7,39.8,37.1,32.4,Europe,UM
355,Norway,NO,2014.0,"304,282","5,140,118",1.11,0.36,16.9,"18,690",1.77,11.5,0.86,82.1,2.3,7.9,"40,394",7.4,"38,155",146.125,63.85,106.175,136.45,167.425,96.775,Europe,H
356,Oman,OM,2014.0,"309,500","3,212,578",2.05,2.1,10.4,"67,485",2.86,24.4,1.39,75,17,3.4,"10,892",-0.5,"-1,536",58.1,34.5,46.6,56.7,44.6,112.0,Asia,H
357,Pakistan,PK,2014.0,"770,875","206,054,670",2.13,2.37,267.3,"4,878,380",4.1,30.6,2,67.1,65.4,7,"1,435,926",-2.4,"-495,109",31.8,5.35,18.95,29.725,25.575,32.1,Asia,LM
358,Panama,PA,2014.0,"74,340","3,716,141",1.74,1.5,50,"55,804",2.59,20.2,1.26,77.6,14.9,5.2,"19,393",2.4,"8,727",58.0,36.3,47.5,64.4,52.8,44.9,North America,UM
359,Peru,PE,2014.0,"1,279,996","29,936,720",0.42,1.49,23.4,"445,224",2.47,20.2,1.21,76.1,12.8,5.3,"159,225",-10.7,"-320,415",56.2,21.8,39.5,51.7,40.7,37.0,South America,UM
360,Philippines,PH,2014.0,"298,170","100,125,736",1.71,1.81,335.8,"1,808,495",2.96,23.7,1.44,70.6,23.4,5.6,"560,569",-1,"-99,403",43.98,13.46,29.14,45.18,24.3,30.2,Asia,LM
361,Poland,PL,2014.0,"304,255","38,579,185",-0.08,-0.04,126.8,"-16,400",1.29,9.7,0.63,77.3,4.6,10.1,"389,279",-0.4,"-15,800",52.74166666666667,16.533333333333335,35.15,44.458333333333336,42.30833333333333,56.61666666666667,Europe,H
362,Portugal,PT,2014.0,"91,470","10,477,254",-0.51,-0.22,114.5,"-22,476",1.24,7.9,0.6,80.6,2.9,10,"104,843",-3,"-31,422",68.43333333333334,20.566666666666663,45.18333333333334,57.3,53.66666666666666,52.88333333333333,Europe,H
363,Puerto Rico,PR,2014.0,"8,869","3,534,091",-1.72,0.12,398.5,"4,375",1.43,9.7,0.7,79.5,6.8,8.5,"30,047",-18.4,"-64,967",77.7,26.3,52.7,81.5,70.2,80.4,North America,H
364,Qatar,QA,2014.0,"11,586","2,124,222",3.59,0.86,183.3,"18,229",1.93,10,0.95,78.3,7.6,1.4,"3,043",27.3,"57,948",74.8,76.3,75.5,69.7,78.5,129.1,Asia,H
365,Romania,RO,2014.0,"229,891","20,016,775",-0.68,-0.27,87.1,"-53,107",1.56,10.1,0.76,75.3,8,12.8,"255,604",-4.1,"-81,989",49.1,11.55714285714286,30.857142857142858,45.3,36.35714285714285,34.67142857142857,Europe,UM
366,Saudi Arabia,SA,2014.0,"2,149,690","30,801,971",2.03,1.47,14.3,"452,335",2.29,17.8,1.12,74.8,14.6,3.2,"96,944",5.7,"173,882",84.5,16.966666666666665,51.7,97.86666666666667,36.46666666666667,79.63333333333334,Asia,H
367,Serbia,RS,2014.0,"77,474","7,089,319",-0.49,-0.49,91.5,"-34,786",1.44,9.4,0.7,74.8,5.8,14.3,"101,247",0,0,51.1,9.466666666666669,30.9,43.1,38.4,35.53333333333333,Europe,UM
368,Singapore,SG,2014.0,709,"5,447,896",1.2,0.75,"7,683.90","40,589",1.25,11,0.61,84.4,1.7,3.5,"19,207",4.6,"25,000",101.3,99.8,100.5,91.6,62.1,64.0,Asia,H
369,Slovenia,SI,2014.0,"20,151","2,097,579",0.09,0.11,104.1,"2,279",1.56,10.1,0.76,80.7,3.1,9,"18,886",-0.2,-490,74.3,20.700000000000003,48.3,64.85,60.75,60.2,Europe,H
370,South Africa,ZA,2014.0,"1,214,470","54,051,691",1.27,1.33,44.5,"716,095",2.43,21.3,1.2,67.3,28.2,8,"433,174",-0.5,"-28,780",47.96,17.360000000000003,33.1,42.92,41.96,94.74,Africa,UM
371,Spain,ES,2014.0,"498,980","46,151,087",-0.14,0.07,92.5,"31,765",1.37,9.3,0.66,82.5,2.9,8.6,"395,830",-2.1,"-94,976",74.67999999999999,26.23,51.15,63.64,73.92999999999999,70.58,Europe,H
372,Sri Lanka,LK,2014.0,"64,630","20,834,529",-0.53,1.03,322.4,"213,481",2.28,16.8,1.11,75.4,8,6.5,"136,263",-15.5,"-323,806",43.7,12.6,28.6,52.5,25.5,30.7,Asia,LM
373,Sweden,SE,2014.0,"410,335","9,736,574",1.04,0.27,23.7,"25,892",1.87,11.8,0.91,82.2,2.2,9.1,"88,976",7.8,"75,729",104.53333333333336,38.46666666666667,72.43333333333334,100.76666666666668,103.46666666666664,105.2,Europe,H
374,Switzerland,CH,2014.0,"39,997","8,212,709",0.86,0.26,205.3,"21,349",1.52,10.4,0.73,83,3.6,7.8,"63,938",6,"49,201",143.65714285714287,63.957142857142856,104.92857142857144,151.92857142857142,140.87142857142857,138.9857142857143,Europe,H
375,Tajikistan,TJ,2014.0,"141,510","8,304,941",2.64,2.71,58.7,"224,741",3.8,32.8,1.85,69.2,31.6,5.7,"47,427",-0.7,"-5,696",51.2,12.6,32.4,45.2,38.9,9.1,Asia,LM
376,Tanzania,TZ,2014.0,"885,800","50,275,034",3.03,3.06,56.8,"1,536,380",4.96,37.5,2.44,65,42.9,7,"349,346",-0.2,"-11,556",53.9,31.7,43.1,50.5,27.1,20.6,Africa,L
377,Thailand,TH,2014.0,"510,890","67,760,535",0.47,0.41,132.6,"276,260",1.54,11.3,0.75,75.2,8,7.2,"487,969",0.6,"42,133",45.833333333333336,18.9,32.733333333333334,52.56666666666666,24.46666666666667,34.166666666666664,Asia,UM
378,Tunisia,TN,2014.0,"155,360","11,032,489",1.19,1.4,71,"154,145",2.4,20.3,1.16,75,14.1,6.4,"70,033",-2.1,"-23,163",42.4,11.5,27.4,40.2,31.8,32.6,Africa,UM
379,Uganda,UG,2014.0,"197,100","34,909,711",3.44,3.76,177.1,"1,312,901",6.01,44.4,2.96,64.7,41.1,6.8,"236,641",-3.2,"-112,518",63.4,16.4,40.6,66.1,30.9,25.5,Africa,L
380,Ukraine,UA,2014.0,"579,330","44,939,342",-1.72,-0.38,77.6,"-171,743",1.51,10.9,0.73,71.2,8.4,14.7,"660,176",-13.4,"-600,000",47.2,16.316666666666666,32.18333333333333,40.63333333333333,43.31666666666666,31.383333333333336,Europe,LM
381,United Arab Emirates,AE,2014.0,"83,600","9,170,474",1.59,0.92,109.7,"84,564",1.66,10.5,0.82,78.1,6.1,1.2,"11,296",6.7,"61,139",66.6,69.85,68.2,58.95,65.4,111.55,Asia,H
382,United Kingdom,GB,2014.0,"241,930","64,346,449",0.82,0.33,266,"214,491",1.87,12.1,0.91,81.3,3.9,8.7,"561,801",4.9,"312,905",103.15833333333336,43.0,73.9375,97.55416666666667,105.275,91.28333333333336,Europe,H
383,United States,US,2014.0,"9,151,125","318,386,329",0.74,0.43,34.8,"1,361,658",--,12.5,--,--,--,8.2,"2,626,418",3.2,"1,008,622",81.2015625,40.6515625,61.4921875,87.5890625,71.6609375,122.9375,North America,H
384,Uruguay,UY,2014.0,"175,015","3,335,299",0.27,0.37,19.1,"12,444",1.84,13.2,0.9,76.9,9.4,9.4,"31,441",-1.1,"-3,600",87.55,26.950000000000003,58.1,70.7,100.45,35.9,South America,H
385,Uzbekistan,UZ,2014.0,"425,400","30,540,354",1.73,1.86,71.8,"568,275",2.48,23.5,1.19,74.5,20.8,4.9,"149,761",-1.3,"-38,562",52.4,14.2,33.8,53.1,47.6,25.6,Asia,LM
386,Vietnam,VN,2014.0,"310,070","95,031,568",1.23,1.26,306.5,"1,195,916",2.09,18.2,0.98,74.3,17,5.6,"528,488",-0.3,"-29,454",48.150000000000006,16.2,32.65,42.5,24.0,25.45,Asia,LM
387,Zimbabwe,ZW,2014.0,"386,847","13,791,770",2.08,2.63,35.7,"362,575",4.02,35.4,1.98,61.4,43.5,9.1,"125,927",-5.5,"-75,299",70.5,21.3,46.6,67.7,53.9,27.8,Africa,L
388,Afghanistan,AF,2015.0,"652,230","32,547,550",2.31,2.46,49.9,"799,446",5.33,38.5,2.6,50.9,118.1,14,"454,433",-1.5,"-49,013",61.6,11.1,36.9,50.2,48.9,25.3,Asia,L
389,Albania,AL,2015.0,"27,398","3,036,304",0.32,0.64,110.8,"19,558",1.5,12.9,0.71,78.7,11.7,6.4,"19,451",-3.3,"-10,000",44.2,9.5,27.2,35.3,36.2,34.4,Europe,UM
390,Algeria,DZ,2015.0,"2,381,740","39,806,186",2.1,2.2,16.7,"874,501",3.11,26.1,1.51,77.1,22.1,4.2,"165,499",-1,"-38,885",36.9,11.6,24.5,34.6,32.6,31.6,Africa,UM
391,Angola,AO,2015.0,"1,246,700","27,292,819",3.62,3.56,21.9,"972,379",6.29,45.4,3.1,59.4,71.4,9.8,"266,704",0.5,"14,473",116.5,133.9,125.0,94.8,117.0,38.8,Africa,UM
392,Argentina,AR,2015.0,"2,736,690","43,474,406",0.95,0.96,15.9,"418,887",2.3,17.2,1.11,76.9,10.6,7.6,"328,604",-0.1,"-4,463",74.8,21.8,48.9,68.2,72.7,58.7,South America,UM
393,Armenia,AM,2015.0,"28,203","3,056,294",-0.15,0.43,108.4,"13,032",1.64,13.6,0.77,74.4,14.2,9.4,"28,574",-5.8,"-17,724",41.4,9.7,25.9,33.7,34.0,28.1,Asia,LM
394,Australia,AU,2015.0,"7,682,300","23,618,255",1.39,0.62,3.1,"146,327",1.82,12.9,0.88,82.1,3.3,6.7,"159,050",7.7,"181,030",99.92727272727274,48.07272727272727,74.5909090909091,95.07272727272726,92.33636363636364,102.72727272727272,Oceania,H
395,Austria,AT,2015.0,"82,445","8,664,442",0.55,-0.01,105.1,-645,1.46,9.4,0.71,81.4,3.5,9.5,"82,155",5.6,"48,142",75.1,27.05,51.65,72.25,69.5,123.1,Europe,H
396,Azerbaijan,AZ,2015.0,"82,629","10,006,766",1.23,1.22,121.1,"122,233",2.12,18.2,0.99,75,11,5.9,"59,462",0.1,"1,092",60.6,30.9,46.1,52.8,64.7,28.6,Asia,UM
397,Bahrain,BH,2015.0,760,"1,346,509",2.4,1.09,"1,771.70","14,731",1.78,13.6,0.88,78.8,11.6,2.7,"3,612",13.1,"17,624",57.6,33.7,45.9,57.7,61.7,67.5,Asia,H
398,Bangladesh,BD,2015.0,"130,170","154,500,279",0.99,1.38,"1,186.90","2,131,280",2.21,19.1,1.08,72.9,35.9,5.3,"817,059",-3.9,"-601,035",40.4,6.8,24.0,40.9,27.4,34.7,Asia,LM
399,Belarus,BY,2015.0,"202,900","9,678,951",0.18,-0.01,47.7,-983,1.69,12.3,0.82,73.9,2.4,12.4,"119,993",1.9,"18,494",51.7,19.2,35.8,47.1,58.0,36.4,Europe,UM
400,Belgium,BE,2015.0,"30,278","11,319,441",0.74,0.15,373.9,"17,194",1.79,11.4,0.87,80.7,3.5,9.9,"111,750",5.9,"66,428",85.39999999999999,31.166666666666668,58.93333333333333,78.73333333333333,94.83333333333331,86.76666666666667,Europe,H
401,Bermuda,BM,2015.0,54,"70,260",0.49,0.31,"1,301.10",215,1.95,11.3,0.95,81,2.3,8.2,578,1.9,132,163.6,120.0,142.3,191.7,132.9,69.8,North America,H
402,Brazil,BR,2015.0,"8,358,140","206,626,819",0.88,0.87,24.7,"1,789,137",1.8,14.7,0.88,75.1,14.1,6,"1,247,150",0.1,"20,778",54.94166666666666,18.016666666666666,36.90833333333333,43.90833333333333,44.525,48.41666666666666,South America,UM
403,Bulgaria,BG,2015.0,"108,489","7,186,710",-0.58,-0.56,66.2,"-39,863",1.45,8.9,0.7,74.4,8.7,14.5,"103,935",-0.3,"-2,094",42.66666666666666,8.433333333333334,25.933333333333334,38.7,32.36666666666667,38.93333333333333,Europe,UM
