Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
Czech Republic,62.55,30.45,51.05,49.35,44.65,59.9,2011,
Denmark,114.7,67.2,97.65,96.95,127.3,88.4,2011,Europe
Dominican Republic,64.1,26.7,50.7,57.5,47.7,34.7,2011,North America
Ecuador,55.0,19.3,42.2,56.7,39.3,38.5,2011,South America
Egypt,51.3,21.3,40.5,46.1,37.9,13.3,2011,Africa
Estonia,62.0,17.4,46.0,45.6,66.9,65.8,2011,Europe
Finland,102.7,54.3,85.3,91.2,93.3,106.2,2011,Europe
France,106.10000000000001,44.63333333333333,84.03333333333335,88.7,108.86666666666667,83.53333333333333,2011,Europe
Germany,93.14,38.28,73.44,82.06,74.85999999999999,112.05999999999999,2011,Europe
Greece,93.1,22.7,67.8,77.1,83.9,46.5,2011,Europe
Hong Kong (China),79.3,81.9,80.2,72.5,57.4,76.6,2011,
Hungary,63.1,26.6,50.0,62.1,47.4,37.3,2011,Europe
Iceland,93.3,35.4,72.5,111.7,90.0,93.8,2011,Europe
India,33.07,10.65,25.02,31.15,19.75,59.8,2011,Asia
Indonesia,54.1,24.1,43.3,59.5,29.9,24.7,2011,Asia
Iran,45.0,15.7,34.5,37.1,29.5,58.8,2011,Asia
Ireland,118.2,56.6,96.1,126.4,112.0,93.4,2011,Europe
Israel,94.4,28.5,70.7,88.8,79.6,132.6,2011,Asia
Italy,105.17999999999999,47.32000000000001,84.4,85.2,115.08,72.8,2011,Europe
Japan,100.0,77.6,92.0,89.7,83.3,114.0,2011,Asia
Jordan,63.3,19.9,47.7,60.2,45.2,34.2,2011,Asia
Kenya,44.0,20.5,35.5,39.0,32.4,34.2,2011,Africa
Latvia,73.2,21.0,54.5,48.9,77.1,29.6,2011,Europe
Lithuania,64.1,19.7,48.1,57.9,42.4,32.4,2011,Europe
Malaysia,50.1,15.0,37.5,45.1,25.6,86.9,2011,Asia
Malta,81.1,30.2,62.8,67.7,77.7,81.6,2011,Europe
Mexico,55.675,18.55,42.35,47.0,45.525,58.6,2011,North America
Mongolia,44.4,18.5,35.1,56.0,27.6,34.6,2011,Asia
Montenegro,59.5,22.9,46.4,44.8,48.9,27.6,2011,Europe
Morocco,77.55,23.7,58.2,70.15,49.8,11.15,2011,Africa
Netherlands,114.2,61.9,95.4,70.2,124.4,83.5,2011,Europe
New Zealand,96.86666666666667,31.433333333333334,73.36666666666667,99.5,83.93333333333334,92.03333333333335,2011,Oceania
North Macedonia,45.2,14.5,34.1,36.3,30.5,37.5,2011,Europe
Norway,145.83333333333334,60.4,115.13333333333333,147.23333333333335,149.29999999999998,93.93333333333334,2011,Europe
Pakistan,34.0,7.833333333333333,24.599999999999998,29.833333333333332,20.933333333333334,28.0,2011,Asia
Panama,50.3,21.7,40.1,39.2,38.4,69.7,2011,North America
Peru,48.8,18.1,37.8,50.1,39.8,48.3,2011,South America
Philippines,39.725,10.75,29.325,34.775,19.1,42.099999999999994,2011,Asia
Poland,53.1,18.979999999999997,40.839999999999996,42.28,41.480000000000004,60.779999999999994,2011,Europe
Portugal,79.96666666666667,37.03333333333333,64.56666666666666,54.86666666666667,56.666666666666664,48.800000000000004,2011,Europe
Puerto Rico,97.1,32.6,73.9,71.8,81.2,22.5,2011,North America
Romania,49.45,14.025,36.725,40.45,34.25,36.025,2011,Europe
Russia,66.65,48.9,60.3,44.65,69.8,37.8,2011,Europe
Serbia,59.9,21.3,46.0,39.9,47.1,30.8,2011,Europe
Singapore,88.8,84.9,87.4,88.2,52.7,82.5,2011,Asia
Slovakia,66.8,28.9,53.2,58.0,46.6,63.7,2011,Europe
Slovenia,70.35,28.35,55.25,67.15,50.349999999999994,63.65,2011,Europe
South Africa,73.86666666666666,39.93333333333334,61.699999999999996,61.53333333333333,58.13333333333333,65.43333333333334,2011,Africa
South Korea,66.7,32.7,54.5,81.3,58.0,124.1,2011,Asia
Spain,76.97142857142856,36.771428571428565,62.542857142857144,54.871428571428574,67.64285714285714,66.62857142857142,2011,Europe
Sweden,107.44999999999999,33.900000000000006,81.05,92.85,97.35,77.6,2011,Europe
Switzerland,139.62,73.44,115.84,145.56,117.66,125.02000000000001,2011,Europe
Syria,52.5,10.25,37.349999999999994,41.1,47.8,21.950000000000003,2011,Asia
Taiwan,56.3,24.1,44.8,58.6,33.2,89.7,2011,Asia
Thailand,44.3,24.0,37.0,47.0,25.2,22.0,2011,Asia
Turkey,66.67999999999999,18.88,49.519999999999996,51.720000000000006,46.980000000000004,52.21999999999999,2011,Asia
Ukraine,50.4,26.3,41.8,31.9,49.5,39.3,2011,Europe
United Arab Emirates,80.95,84.5,82.2,61.7,101.15,107.5,2011,Asia
United Kingdom,92.72999999999999,50.290000000000006,77.49,91.36,87.19,86.46000000000001,2011,Europe
United States,82.17037037037036,48.1074074074074,69.94444444444444,76.09629629629629,67.53333333333333,109.91851851851852,2011,North America
Uruguay,72.1,18.3,52.8,61.0,52.4,44.1,2011,South America
Venezuela,55.8,34.9,48.3,48.3,57.0,45.1,2011,South America
Vietnam,44.4,38.0,42.1,40.3,31.2,51.3,2011,Asia
Algeria,40.6,13.2,30.7,42.5,31.3,23.7,2012,Africa
Argentina,61.85,20.450000000000003,46.95,54.05,54.55,41.25,2012,South America
Armenia,63.4,25.9,49.9,37.7,57.6,19.6,2012,Asia
Australia,123.44285714285715,58.4,100.05714285714285,111.5,110.44285714285715,108.65714285714286,2012,Oceania
Austria,94.65,41.0,75.3,80.15,76.95,100.55000000000001,2012,Europe
Azerbaijan,71.2,41.0,60.4,53.2,68.2,26.4,2012,Asia
Bahrain,71.9,47.2,63.0,63.6,81.0,64.7,2012,Asia
Belarus,47.4,15.4,35.9,35.3,53.7,22.2,2012,Europe
Belgium,109.19999999999999,38.5,83.75,86.5,109.65,84.4,2012,Europe
Bosnia And Herzegovina,54.35,12.2,39.2,42.4,44.95,39.7,2012,
Brazil,82.23333333333333,25.958333333333332,61.958333333333336,55.5,57.10833333333333,45.025,2012,South America
Bulgaria,52.23333333333333,12.700000000000001,38.0,43.46666666666667,36.43333333333333,33.93333333333333,2012,Europe
Canada,98.16,39.81,77.17,95.39,82.39,105.22,2012,North America
Chile,69.9,20.6,52.2,53.5,58.7,45.0,2012,South America
China,53.666666666666664,25.266666666666666,43.43333333333334,61.23333333333334,36.96666666666667,36.333333333333336,2012,Asia
Colombia,65.45,18.6,48.599999999999994,55.25,41.95,22.4,2012,South America
Costa Rica,71.2,26.0,54.9,78.6,52.9,38.8,2012,North America
Croatia,68.86666666666666,16.633333333333333,50.1,56.63333333333333,53.199999999999996,50.5,2012,Europe
Cyprus,91.8,25.7,68.0,76.4,100.1,65.2,2012,Europe
Czech Republic,62.599999999999994,24.05,48.75,49.0,43.4,63.400000000000006,2012,
Denmark,119.9,57.300000000000004,97.35,99.45,135.6,85.7,2012,Europe
Ecuador,54.25,10.899999999999999,38.650000000000006,46.15,39.7,24.9,2012,South America
Egypt,53.4,17.3,40.4,45.4,49.0,20.6,2012,Africa
Estonia,67.0,15.8,48.5,52.2,60.7,49.7,2012,Europe
Finland,103.4,43.5,81.85,90.85,100.0,94.94999999999999,2012,Europe
France,100.44285714285715,36.24285714285714,77.32857142857142,84.57142857142857,99.91428571428571,83.41428571428571,2012,Europe
Georgia,57.3,15.8,42.4,40.9,52.5,28.7,2012,Asia
Germany,94.64545454545454,32.41818181818182,72.24545454545455,77.41818181818182,82.12727272727273,105.33636363636364,2012,Europe
Greece,93.125,18.85,66.4,68.725,89.775,45.8,2012,Europe
Hong Kong (China),88.1,106.2,94.6,85.2,79.1,91.8,2012,
Hungary,62.95,13.25,45.05,49.0,47.849999999999994,40.25,2012,Europe
Iceland,100.1,31.8,75.5,95.5,90.6,81.2,2012,Europe
India,33.61333333333333,8.906666666666666,24.720000000000002,33.38,20.586666666666666,57.39333333333333,2012,Asia
Indonesia,64.1,28.3,51.2,69.9,39.7,25.6,2012,Asia
Iran,54.0,25.3,43.650000000000006,52.05,41.75,47.8,2012,Asia
Ireland,119.6,48.3,93.9,110.0,113.2,93.5,2012,Europe
Israel,93.8,31.25,71.3,74.44999999999999,86.0,71.35,2012,Asia
Italy,100.875,40.55,79.175,79.8,101.8125,73.5,2012,Europe
Japan,135.2,95.4,120.9,120.4,91.7,90.1,2012,Asia
Jordan,66.0,14.5,47.4,60.7,51.7,37.8,2012,Asia
Kazakhstan,74.6,36.3,60.8,50.6,38.8,32.0,2012,Asia
Latvia,70.8,15.2,50.7,52.6,66.6,34.7,2012,Europe
Lebanon,88.9,37.0,70.3,44.5,76.2,25.7,2012,Asia
Lithuania,65.6,16.25,47.9,52.400000000000006,52.7,33.15,2012,Europe
Malaysia,55.45,12.649999999999999,40.0,51.3,32.55,58.25,2012,Asia
Malta,89.9,26.3,67.0,70.5,89.0,80.5,2012,Europe
