Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
Azerbaijan,63.1,34.3,49.1,54.5,65.4,25.1,2014,Asia
Bahamas,111.3,49.7,81.4,110.5,105.0,87.4,2014,North America
Bahrain,60.7,33.0,47.3,59.1,62.9,71.6,2014,Asia
Bangladesh,42.6,8.0,25.8,43.6,27.9,35.0,2014,Asia
Belarus,51.8,17.6,35.2,47.9,56.4,36.2,2014,Europe
Belgium,97.825,34.825,67.225,89.15,105.775,90.525,2014,Europe
Bolivia,38.7,11.9,25.7,38.6,22.9,44.3,2014,South America
Bosnia And Herzegovina,51.849999999999994,10.35,31.700000000000003,45.8,37.25,42.2,2014,
Botswana,49.2,14.7,32.4,44.8,40.2,45.4,2014,Africa
Brazil,60.58181818181818,21.154545454545453,41.43636363636364,49.24545454545455,48.31818181818182,49.39090909090908,2014,South America
Brunei,65.8,22.1,44.6,69.7,55.8,125.6,2014,Asia
Bulgaria,48.36666666666667,10.299999999999999,29.866666666666664,44.03333333333333,38.36666666666667,36.666666666666664,2014,Europe
Cambodia,60.2,20.2,40.8,75.1,27.4,18.2,2014,Asia
Canada,89.024,33.48,62.044,97.288,75.836,102.02,2014,North America
Chile,60.9,19.6,40.8,55.2,50.2,54.4,2014,South America
China,59.17142857142857,26.728571428571428,43.4,63.642857142857146,40.957142857142856,43.82857142857143,2014,Asia
Colombia,52.599999999999994,17.1,35.3,49.05,38.0,33.8,2014,South America
Costa Rica,70.1,23.1,47.3,74.8,58.9,34.3,2014,North America
Croatia,67.46000000000001,13.419999999999998,41.2,63.4,50.46,48.86,2014,Europe
Cyprus,91.46666666666665,20.833333333333332,57.166666666666664,84.03333333333333,91.10000000000001,65.8,2014,Europe
Czech Republic,55.75,16.675,36.75,50.75,37.75,65.35,2014,
Denmark,113.95,36.975,76.525,99.325,135.85,99.05,2014,Europe
Dominican Republic,58.8,15.1,37.6,59.4,44.7,39.5,2014,North America
Ecuador,47.65,15.55,32.05,53.45,27.1,27.1,2014,South America
Egypt,39.05,9.399999999999999,24.65,38.45,32.15,21.35,2014,Africa
El Salvador,57.1,9.6,34.1,57.3,41.0,19.9,2014,North America
Estonia,66.65,17.7,42.85,57.8,53.75,50.55,2014,Europe
Ethiopia,54.9,21.8,38.8,54.5,26.4,12.0,2014,Africa
Finland,103.575,34.925,70.225,100.15,99.075,94.175,2014,Europe
France,102.30000000000001,36.3,70.24444444444445,102.22222222222223,96.38888888888889,84.66666666666667,2014,Europe
Georgia,47.8,12.8,30.8,37.5,45.5,24.2,2014,Asia
Germany,89.20714285714287,32.778571428571425,61.778571428571425,80.50714285714285,79.61428571428571,114.40714285714286,2014,Europe
Ghana,63.8,40.0,52.3,69.5,58.1,14.1,2014,Africa
Greece,84.02000000000001,15.24,50.58,73.94,82.26,44.22,2014,Europe
Guatemala,52.9,16.4,35.2,55.4,33.3,37.7,2014,North America
Hong Kong (China),82.7,108.9,95.4,90.6,61.3,68.4,2014,
Hungary,58.45,9.75,34.849999999999994,48.099999999999994,46.7,50.55,2014,Europe
Iceland,113.8,42.3,79.0,122.9,106.7,58.6,2014,Europe
India,27.05,6.535714285714286,17.089285714285715,29.36785714285714,16.771428571428572,59.67142857142857,2014,Asia
Indonesia,41.18,14.040000000000001,28.02,45.019999999999996,22.72,23.6,2014,Asia
Iran,47.8,17.45,33.075,50.075,39.15,32.6,2014,Asia
Iraq,56.85,25.4,41.55,48.0,53.6,34.5,2014,Asia
Ireland,107.03333333333335,38.13333333333333,73.56666666666666,104.8,104.06666666666666,100.73333333333333,2014,Europe
Israel,94.2,31.13333333333333,63.56666666666667,80.75,96.66666666666667,70.05,2014,Asia
Italy,98.20588235294117,32.629411764705885,66.35882352941177,86.3529411764706,104.31764705882354,71.94117647058823,2014,Europe
Jamaica,77.9,26.3,52.8,73.9,49.5,84.9,2014,North America
Japan,91.33333333333333,38.5,65.63333333333334,94.66666666666667,59.36666666666667,103.56666666666666,2014,Asia
Jordan,63.9,15.8,40.6,56.1,58.8,37.6,2014,Asia
Kazakhstan,65.3,23.9,45.2,54.0,69.0,41.8,2014,Asia
Kenya,57.5,22.4,40.5,61.3,37.8,28.8,2014,Africa
Kosovo (Disputed Territory),46.7,12.6,30.1,36.2,35.7,28.2,2014,
Kuwait,83.0,40.6,62.4,105.0,59.0,85.6,2014,Asia
Laos,58.7,19.0,39.4,58.8,24.4,19.2,2014,Asia
Latvia,67.8,18.4,43.8,55.2,55.8,40.8,2014,Europe
Lebanon,73.6,36.1,55.4,57.4,75.1,40.5,2014,Asia
Libya,60.3,32.0,46.5,66.8,53.3,35.5,2014,Africa
Lithuania,61.7,14.149999999999999,38.599999999999994,53.8,40.95,40.849999999999994,2014,Europe
Luxembourg,108.9,66.6,88.4,94.1,124.9,131.2,2014,Europe
Macao (China),65.7,34.4,50.5,72.4,46.8,71.2,2014,
Malaysia,48.94285714285714,14.342857142857143,32.142857142857146,47.300000000000004,25.814285714285713,70.41428571428571,2014,Asia
Malta,85.5,20.7,54.0,78.5,72.2,82.7,2014,Europe
Mauritius,63.0,35.3,49.5,53.5,60.7,56.1,2014,Africa
Mexico,49.416666666666664,15.166666666666666,32.78333333333333,49.78333333333333,37.88333333333333,66.35000000000001,2014,North America
Moldova,41.6,10.2,26.4,36.0,31.9,23.4,2014,Europe
Mongolia,58.1,27.2,43.1,59.7,39.6,25.4,2014,Asia
Montenegro,60.1,14.5,37.9,52.7,51.4,35.6,2014,Europe
Morocco,46.2,20.2,33.6,38.3,36.6,33.6,2014,Africa
Myanmar,55.6,21.1,38.8,65.6,26.7,14.7,2014,Asia
Namibia,57.0,26.8,42.3,53.0,41.8,35.3,2014,Africa
Nepal,31.8,4.3,18.5,31.2,21.1,21.9,2014,Asia
Netherlands,100.58571428571429,42.55714285714286,72.38571428571429,80.15714285714286,113.87142857142858,100.74285714285715,2014,Europe
New Zealand,105.53333333333335,46.166666666666664,76.7,105.26666666666667,94.46666666666665,86.66666666666667,2014,Oceania
Nigeria,80.7,23.1,52.7,82.0,63.5,31.0,2014,Africa
North Macedonia,49.1,11.3,30.7,39.8,37.1,32.4,2014,Europe
Norway,146.125,63.849999999999994,106.175,136.45,167.425,96.775,2014,Europe
Oman,58.1,34.5,46.6,56.7,44.6,112.0,2014,Asia
Pakistan,31.8,5.35,18.95,29.725,25.575,32.1,2014,Asia
Panama,58.0,36.3,47.5,64.4,52.8,44.9,2014,North America
Peru,56.2,21.8,39.5,51.7,40.7,37.0,2014,South America
Philippines,43.980000000000004,13.459999999999999,29.139999999999997,45.18,24.3,30.2,2014,Asia
Poland,52.74166666666667,16.533333333333335,35.15,44.458333333333336,42.30833333333333,56.61666666666667,2014,Europe
Portugal,68.43333333333334,20.566666666666666,45.18333333333334,57.300000000000004,53.666666666666664,52.88333333333333,2014,Europe
Puerto Rico,77.7,26.3,52.7,81.5,70.2,80.4,2014,North America
Qatar,74.8,76.3,75.5,69.7,78.5,129.1,2014,Asia
Romania,49.1,11.557142857142859,30.857142857142858,45.300000000000004,36.357142857142854,34.67142857142857,2014,Europe
Russia,59.916666666666664,26.525000000000002,43.69166666666666,50.18333333333334,61.50833333333333,39.525,2014,Europe
Saudi Arabia,84.5,16.966666666666665,51.699999999999996,97.86666666666667,36.46666666666667,79.63333333333334,2014,Asia
Serbia,51.1,9.466666666666667,30.900000000000002,43.1,38.4,35.53333333333333,2014,Europe
Singapore,101.3,99.8,100.5,91.6,62.1,64.0,2014,Asia
Slovakia,63.599999999999994,22.85,43.8,57.15,48.400000000000006,54.95,2014,Europe
Slovenia,74.3,20.700000000000003,48.3,64.85,60.75,60.2,2014,Europe
South Africa,47.96,17.360000000000003,33.1,42.92,41.96,94.74,2014,Africa
South Korea,91.30000000000001,36.400000000000006,64.6,108.4,50.150000000000006,72.1,2014,Asia
Spain,74.67999999999999,26.23,51.15,63.64,73.92999999999999,70.58,2014,Europe
Sri Lanka,43.7,12.6,28.6,52.5,25.5,30.7,2014,Asia
Sweden,104.53333333333335,38.46666666666667,72.43333333333334,100.76666666666667,103.46666666666665,105.2,2014,Europe
Switzerland,143.65714285714287,63.957142857142856,104.92857142857143,151.92857142857142,140.87142857142857,138.9857142857143,2014,Europe
Syria,45.2,14.9,30.5,41.1,38.8,18.7,2014,Asia
Taiwan,64.5,19.05,42.4,78.0,29.049999999999997,75.19999999999999,2014,Asia
Tajikistan,51.2,12.6,32.4,45.2,38.9,9.1,2014,Asia
Tanzania,53.9,31.7,43.1,50.5,27.1,20.6,2014,Africa
Thailand,45.833333333333336,18.900000000000002,32.733333333333334,52.56666666666666,24.46666666666667,34.166666666666664,2014,Asia
Tunisia,42.4,11.5,27.4,40.2,31.8,32.6,2014,Africa
Turkey,50.275,12.125,31.75,41.45,40.275,54.125,2014,Asia
Uganda,63.4,16.4,40.6,66.1,30.9,25.5,2014,Africa
Ukraine,47.199999999999996,16.316666666666666,32.18333333333333,40.63333333333333,43.31666666666666,31.383333333333336,2014,Europe
United Arab Emirates,66.6,69.85,68.2,58.95,65.4,111.55,2014,Asia
United Kingdom,103.15833333333335,43.0,73.9375,97.55416666666667,105.27499999999999,91.28333333333335,2014,Europe
United States,81.2015625,40.6515625,61.4921875,87.5890625,71.6609375,122.9375,2014,North America
Uruguay,87.55,26.950000000000003,58.099999999999994,70.7,100.44999999999999,35.9,2014,South America
Uzbekistan,52.4,14.2,33.8,53.1,47.6,25.6,2014,Asia
Venezuela,122.8,53.9,89.4,136.7,107.1,18.0,2014,South America
Vietnam,48.150000000000006,16.2,32.65,42.5,24.0,25.45,2014,Asia
Zimbabwe,70.5,21.3,46.6,67.7,53.9,27.8,2014,Africa
Afghanistan,61.6,11.1,36.9,50.2,48.9,25.3,2015,Asia
Albania,44.2,9.5,27.2,35.3,36.2,34.4,2015,Europe
Algeria,36.9,11.6,24.5,34.6,32.6,31.6,2015,Africa
Angola,116.5,133.9,125.0,94.8,117.0,38.8,2015,Africa
Argentina,74.8,21.8,48.9,68.2,72.7,58.7,2015,South America
Armenia,41.4,9.7,25.9,33.7,34.0,28.1,2015,Asia
Australia,99.92727272727274,48.07272727272727,74.5909090909091,95.07272727272726,92.33636363636364,102.72727272727273,2015,Oceania
Austria,75.1,27.049999999999997,51.65,72.25,69.5,123.1,2015,Europe
Azerbaijan,60.6,30.9,46.1,52.8,64.7,28.6,2015,Asia
Bahrain,57.6,33.7,45.9,57.7,61.7,67.5,2015,Asia
Bangladesh,40.4,6.8,24.0,40.9,27.4,34.7,2015,Asia
Belarus,51.7,19.2,35.8,47.1,58.0,36.4,2015,Europe
Belgium,85.39999999999999,31.166666666666668,58.93333333333333,78.73333333333333,94.83333333333333,86.76666666666667,2015,Europe
Bermuda,163.6,120.0,142.3,191.7,132.9,69.8,2015,North America
Bosnia And Herzegovina,43.55,8.8,26.55,37.05,32.45,44.4,2015,
Brazil,54.94166666666666,18.016666666666666,36.90833333333333,43.90833333333333,44.525,48.416666666666664,2015,South America
Brunei,69.5,20.0,45.3,71.9,43.6,65.5,2015,Asia
Bulgaria,42.666666666666664,8.433333333333334,25.933333333333334,38.699999999999996,32.36666666666667,38.93333333333333,2015,Europe
Cambodia,64.6,20.0,42.8,78.8,30.1,22.5,2015,Asia
Canada,85.31923076923077,32.315384615384616,59.41538461538461,91.13076923076923,76.88076923076923,102.6576923076923,2015,North America
Chile,55.0,19.2,37.5,49.6,45.1,53.1,2015,South America
China,48.73333333333333,25.03333333333333,37.15,49.68333333333334,37.4,52.416666666666664,2015,Asia
Colombia,39.9,12.9,26.733333333333334,36.300000000000004,30.8,35.56666666666667,2015,South America
Costa Rica,64.6,22.4,43.9,63.9,55.6,40.7,2015,North America
Croatia,58.279999999999994,11.18,35.28,53.04,45.54,49.4,2015,Europe
Cuba,55.2,15.5,35.8,37.6,33.9,1.5,2015,North America
Cyprus,77.86666666666667,16.266666666666666,47.73333333333333,69.0,83.53333333333333,72.33333333333333,2015,Europe
Czech Republic,49.7,17.85,34.150000000000006,44.45,34.95,67.1,2015,
Denmark,98.83333333333333,35.5,67.9,86.86666666666667,115.8,106.46666666666665,2015,Europe
Dominican Republic,59.9,16.0,38.4,58.1,52.2,29.0,2015,North America
Ecuador,52.7,18.0,35.7,53.0,36.0,36.9,2015,South America
Egypt,38.150000000000006,8.75,23.799999999999997,37.45,33.05,23.15,2015,Africa
El Salvador,53.5,10.7,32.6,47.2,39.9,29.3,2015,North America
Estonia,61.7,15.649999999999999,39.2,49.95,53.7,52.3,2015,Europe
Ethiopia,52.0,16.9,34.9,48.5,24.7,15.1,2015,Africa
Finland,88.61666666666667,30.666666666666668,60.31666666666666,80.7,91.39999999999999,103.06666666666666,2015,Europe
France,89.55714285714285,31.985714285714288,61.44285714285714,87.74285714285715,88.54285714285713,87.61428571428571,2015,Europe
Georgia,40.2,13.1,26.9,31.6,39.2,26.8,2015,Asia
Germany,77.61,30.0,54.339999999999996,66.36,72.55,110.49000000000001,2015,Europe
Ghana,84.1,59.3,72.0,80.2,62.1,11.5,2015,Africa
Greece,68.5,12.125,40.95,58.15,68.875,50.85,2015,Europe
Guatemala,52.1,15.6,34.2,54.0,36.1,35.6,2015,North America
Hong Kong (China),77.4,90.1,83.6,81.8,58.8,67.1,2015,
Hungary,51.2,10.4,31.2,41.2,40.2,48.0,2015,Europe
Iceland,105.0,37.2,71.9,107.9,110.3,66.8,2015,Europe
India,27.44333333333333,6.253333333333333,17.083333333333332,29.07,17.296666666666667,58.32,2015,Asia
Indonesia,39.46666666666667,14.9,27.46666666666667,43.43333333333334,21.933333333333334,25.5,2015,Asia
Iran,48.3,25.1,36.9,48.7,43.3,31.2,2015,Asia
Iraq,57.75,22.65,40.599999999999994,45.5,53.849999999999994,35.3,2015,Asia
Ireland,90.8,33.96666666666667,63.03333333333333,84.76666666666667,97.73333333333333,104.93333333333334,2015,Europe
Israel,80.02000000000001,26.4,53.82000000000001,67.88,84.7,84.16,2015,Asia
Italy,85.08125,28.0875,57.2375,73.96875,93.15,75.775,2015,Europe
Jamaica,72.0,20.4,46.8,64.5,48.1,48.5,2015,North America
Japan,81.0,33.55,57.8,80.94999999999999,56.65,101.15,2015,Asia
Jersey,118.3,64.5,92.0,98.3,165.5,90.8,2015,Europe
Jordan,62.6,16.5,40.1,52.6,59.5,39.1,2015,Asia
Kazakhstan,56.8,20.4,39.0,46.1,61.9,47.2,2015,Asia
Kenya,54.3,19.3,37.2,54.7,38.9,30.6,2015,Africa
Kosovo (Disputed Territory),40.4,15.4,28.2,30.3,30.1,30.0,2015,
Kyrgyzstan,42.9,17.0,30.2,38.6,40.4,29.6,2015,Asia
Laos,62.1,20.7,41.9,66.8,29.4,12.0,2015,Asia
Latvia,57.7,13.7,36.2,45.8,48.3,43.1,2015,Europe
Lebanon,69.9,33.9,52.3,53.9,73.5,46.8,2015,Asia
Libya,56.6,25.9,41.6,59.0,52.4,44.6,2015,Africa
Lithuania,53.8,12.7,33.7,44.45,38.8,44.3,2015,Europe
Luxembourg,90.6,62.2,76.7,77.4,109.6,127.1,2015,Europe
Macao (China),73.3,39.9,57.0,82.1,52.0,61.8,2015,
Malaysia,48.28,14.459999999999999,31.76,48.660000000000004,27.04,69.5,2015,Asia
Maldives,67.1,33.0,50.4,70.0,44.1,26.6,2015,Asia
Malta,69.7,20.9,45.8,59.5,82.5,80.2,2015,Europe
Mexico,43.65,13.583333333333334,28.950000000000003,43.56666666666666,34.583333333333336,78.23333333333333,2015,North America
Moldova,34.9,7.8,21.7,29.9,28.5,23.9,2015,Europe
Mongolia,52.6,27.9,40.5,53.3,35.1,23.4,2015,Asia
Montenegro,48.3,11.3,30.2,38.9,41.6,40.3,2015,Europe
Morocco,42.5,18.6,30.8,39.0,31.4,40.7,2015,Africa
Mozambique,68.8,47.6,58.4,54.9,69.9,39.4,2015,Africa
Myanmar,53.0,27.5,40.5,59.5,24.3,19.6,2015,Asia
Namibia,54.1,23.0,38.9,50.1,46.4,42.7,2015,Africa
Nepal,30.7,4.3,17.8,30.2,20.8,19.4,2015,Asia
Netherlands,85.97142857142856,35.885714285714286,61.51428571428572,66.75714285714285,99.88571428571429,105.07142857142857,2015,Europe
New Zealand,94.475,37.375,66.6,92.95,89.55,84.9,2015,Oceania
Nicaragua,51.1,8.5,30.3,43.8,32.2,23.1,2015,North America
Nigeria,62.3,27.1,45.1,57.8,52.8,36.2,2015,Africa
North Macedonia,42.0,9.6,26.2,35.0,33.4,34.8,2015,Europe
Norway,121.38,54.3,88.62,113.22,139.82,103.38,2015,Europe
Oman,57.9,32.9,45.7,53.0,49.8,106.1,2015,Asia
Pakistan,32.075,5.75,19.2,31.150000000000002,24.825,33.975,2015,Asia
Panama,61.1,35.3,48.5,64.6,55.9,38.2,2015,North America
Papua New Guinea,105.9,103.6,104.7,118.3,66.3,8.1,2015,Oceania
Peru,54.7,21.1,38.3,50.2,37.5,29.8,2015,South America
Philippines,43.625,16.375,30.325,44.2,24.799999999999997,30.650000000000002,2015,Asia
Poland,44.34444444444445,14.11111111111111,29.56666666666667,36.27777777777778,37.400000000000006,61.77777777777778,2015,Europe
Portugal,57.166666666666664,18.2,38.13333333333333,45.53333333333333,49.26666666666667,57.9,2015,Europe
Puerto Rico,78.0,26.0,52.6,81.2,69.6,107.5,2015,North America
Qatar,74.0,75.5,74.7,65.0,78.2,114.6,2015,Asia
Romania,42.628571428571426,9.571428571428571,26.442857142857143,37.31428571428571,33.81428571428571,39.357142857142854,2015,Europe
Russia,51.83571428571429,21.935714285714287,37.207142857142856,42.92857142857143,55.621428571428574,41.06428571428571,2015,Europe
Saudi Arabia,58.43333333333334,16.766666666666666,38.06666666666667,61.96666666666666,35.43333333333334,109.16666666666667,2015,Asia
Serbia,40.833333333333336,7.3999999999999995,24.5,33.666666666666664,31.46666666666667,37.833333333333336,2015,Europe
Singapore,97.9,91.6,94.8,88.4,64.3,73.2,2015,Asia
Slovakia,53.599999999999994,19.65,37.0,48.45,43.85,57.75,2015,Europe
Slovenia,65.1,18.9,42.5,55.7,55.0,68.7,2015,Europe
South Africa,45.3,17.080000000000002,31.520000000000003,40.44,40.32,102.94000000000001,2015,Africa
South Korea,83.7,41.5,63.1,93.6,54.5,88.6,2015,Asia
Spain,67.0875,22.1625,45.125,56.3625,66.4125,74.4375,2015,Europe
Sri Lanka,43.7,12.9,28.6,52.6,24.6,27.3,2015,Asia
Sudan,52.3,15.1,34.1,52.0,35.8,51.3,2015,Africa
Sweden,82.93333333333334,31.46666666666667,57.76666666666667,80.06666666666666,84.53333333333335,116.96666666666665,2015,Europe
Switzerland,129.21666666666667,59.56666666666666,95.18333333333334,131.45000000000002,134.11666666666667,141.91666666666666,2015,Europe
Syria,40.4,12.2,26.6,38.4,37.0,20.4,2015,Asia
Taiwan,61.55,16.45,39.5,73.25,28.5,70.69999999999999,2015,Asia
Tajikistan,42.0,14.1,28.4,39.1,31.5,20.1,2015,Asia
Tanzania,62.8,35.7,49.6,62.1,43.8,25.4,2015,Africa
Thailand,52.26666666666667,18.3,35.699999999999996,56.36666666666667,27.2,35.166666666666664,2015,Asia
Tunisia,35.5,9.2,22.7,34.2,25.7,34.4,2015,Africa
Turkey,49.08,11.26,30.6,39.88,39.160000000000004,55.58,2015,Asia
Uganda,62.6,9.8,36.8,69.3,33.1,20.7,2015,Africa
Ukraine,41.46666666666667,13.583333333333334,27.833333333333332,35.21666666666667,36.75,26.55,2015,Europe
United Arab Emirates,65.46666666666665,60.43333333333334,63.03333333333333,60.46666666666667,59.599999999999994,105.13333333333333,2015,Asia
United Kingdom,93.76521739130435,38.7695652173913,66.90434782608695,86.0391304347826,98.18260869565216,93.02608695652174,2015,Europe
United States,81.1,40.74029850746268,61.37611940298507,87.27014925373135,73.21044776119403,121.04626865671642,2015,North America
Uruguay,67.4,21.5,45.0,59.9,63.2,46.4,2015,South America
Uzbekistan,58.3,13.6,36.5,50.8,53.2,21.8,2015,Asia
Venezuela,141.4,60.5,101.9,155.2,122.3,9.7,2015,South America
Vietnam,44.45,14.95,30.05,39.65,24.0,24.75,2015,Asia
Zimbabwe,69.2,21.8,46.0,62.0,54.7,30.4,2015,Africa
Albania,35.6,9.2,22.9,28.0,30.2,41.2,2016,Europe
Algeria,32.2,10.2,21.6,33.6,24.1,48.7,2016,Africa
Argentina,67.8,21.2,45.4,54.2,67.3,73.8,2016,South America
Armenia,36.7,10.7,24.2,28.6,31.4,34.4,2016,Asia
Australia,79.22500000000001,39.916666666666664,60.35,78.25,76.5,140.43333333333334,2016,Oceania
Austria,66.36666666666667,25.433333333333334,46.666666666666664,60.46666666666667,63.4,127.63333333333333,2016,Europe
Azerbaijan,30.7,11.5,21.5,26.1,31.1,40.4,2016,Asia
Bahamas,108.2,37.9,74.4,104.4,92.5,54.9,2016,North America
Bahrain,49.3,31.3,40.7,44.4,56.8,107.5,2016,Asia
Bangladesh,38.6,6.6,23.2,35.1,23.3,43.2,2016,Asia
Belarus,40.5,14.9,28.2,33.0,49.6,40.1,2016,Europe
Belgium,78.33333333333333,27.333333333333332,53.86666666666667,73.56666666666666,83.83333333333333,107.96666666666665,2016,Europe
Bermuda,132.3,120.9,126.8,128.6,120.4,118.9,2016,North America
Bosnia And Herzegovina,35.3,7.1,21.75,28.85,26.5,59.599999999999994,2016,
Brazil,39.230000000000004,12.43,26.360000000000003,30.689999999999998,31.82,51.510000000000005,2016,South America
Brunei,54.0,15.0,35.2,49.1,33.2,75.3,2016,Asia
Bulgaria,35.46666666666667,7.933333333333334,22.233333333333334,30.866666666666664,26.566666666666666,61.0,2016,Europe
Cambodia,53.3,18.4,36.5,58.2,25.8,20.0,2016,Asia
Canada,65.92173913043479,25.808695652173913,46.64782608695653,66.5695652173913,60.039130434782614,132.63478260869564,2016,North America
Chile,43.2,13.0,28.700000000000003,38.400000000000006,32.099999999999994,92.69999999999999,2016,South America
China,53.15,35.35,44.625,58.975,33.925,96.15,2016,Asia
Colombia,29.566666666666666,8.933333333333332,19.633333333333333,25.8,21.5,46.833333333333336,2016,South America
Costa Rica,60.4,19.5,40.7,61.3,48.9,60.8,2016,North America
Croatia,48.275,9.6,29.65,40.975,36.55,63.900000000000006,2016,Europe
Cyprus,60.23333333333333,12.933333333333332,37.5,51.166666666666664,61.23333333333333,92.53333333333335,2016,Europe
Czech Republic,41.85,13.25,28.125,36.675,27.875,89.35,2016,
Denmark,83.1,28.05,56.625,68.75,96.225,136.95,2016,Europe
Dominican Republic,55.1,15.4,36.0,50.2,43.6,26.6,2016,North America
Ecuador,47.93333333333334,13.1,31.166666666666668,48.23333333333333,31.3,47.9,2016,South America
Egypt,36.8,9.75,23.799999999999997,34.150000000000006,29.450000000000003,41.45,2016,Africa
El Salvador,42.9,10.1,27.1,39.2,30.4,42.5,2016,North America
Estonia,49.0,12.95,31.700000000000003,39.35,45.45,80.4,2016,Europe
Ethiopia,45.4,21.5,33.9,41.2,24.2,18.8,2016,Africa
Finland,74.58333333333333,26.183333333333334,51.31666666666666,64.33333333333333,77.95,128.98333333333332,2016,Europe
France,74.225,25.8125,50.9625,68.6875,73.9375,119.325,2016,Europe
Georgia,29.6,11.4,20.8,25.6,27.0,30.8,2016,Asia
Germany,67.43571428571428,25.2,47.135714285714286,54.91428571428572,62.24285714285714,149.25714285714284,2016,Europe
Ghana,70.1,57.2,63.9,64.2,49.4,16.1,2016,Africa
Greece,52.46,8.86,31.52,43.0,54.67999999999999,95.28,2016,Europe
Guatemala,45.3,13.9,30.2,41.1,35.0,53.1,2016,North America
Hong Kong (China),81.5,82.6,82.0,88.8,50.7,102.3,2016,
Hungary,42.3,10.600000000000001,27.05,34.2,30.150000000000002,53.6,2016,Europe
Iceland,97.0,38.2,68.7,93.5,95.5,97.1,2016,Europe
India,25.14848484848485,5.996969696969697,15.942424242424243,25.954545454545453,16.309090909090912,77.17878787878789,2016,Asia
Indonesia,35.96,12.1,24.5,39.68,19.78,36.339999999999996,2016,Asia
Iran,44.3,24.0,34.5,43.0,37.6,47.1,2016,Asia
Iraq,56.9,20.1,39.2,43.1,49.150000000000006,50.599999999999994,2016,Asia
Ireland,75.43333333333334,35.56666666666667,56.300000000000004,65.03333333333333,78.13333333333334,134.03333333333333,2016,Europe
Israel,76.3,27.45,52.8,64.075,80.725,104.775,2016,Asia
Italy,68.99333333333334,22.773333333333333,46.766666666666666,59.36666666666667,73.73333333333333,94.43333333333334,2016,Europe
Jamaica,66.7,17.0,42.8,62.3,40.3,41.7,2016,North America
Japan,82.8,32.300000000000004,58.5,91.06666666666666,49.1,106.53333333333335,2016,Asia
Jordan,55.1,13.4,35.1,44.7,53.4,50.3,2016,Asia
Kazakhstan,31.3,11.1,21.6,25.2,33.6,61.8,2016,Asia
Kenya,45.1,19.0,32.6,40.2,35.6,25.1,2016,Africa
Kosovo (Disputed Territory),27.4,8.5,18.3,24.2,20.5,66.2,2016,
Kuwait,87.0,43.6,66.1,108.2,43.9,117.1,2016,Asia
Latvia,47.8,13.0,31.1,35.8,41.0,63.0,2016,Europe
Lebanon,66.4,42.8,55.1,49.1,68.7,65.4,2016,Asia
Libya,43.1,16.6,30.4,41.1,35.2,72.0,2016,Africa
Lithuania,46.7,14.9,31.4,38.2,37.9,62.2,2016,Europe
Luxembourg,84.4,48.9,67.4,73.4,89.9,156.6,2016,Europe
Malaysia,41.1,11.28,26.76,43.2,21.619999999999997,88.53999999999999,2016,Asia
Maldives,57.0,29.7,43.9,60.5,35.9,35.9,2016,Asia
Malta,65.5,25.0,46.0,58.8,71.2,77.0,2016,Europe
Mexico,37.27777777777778,10.555555555555555,24.433333333333334,35.077777777777776,30.811111111111114,91.98888888888888,2016,North America
Moldova,25.9,7.2,16.9,20.6,17.7,32.1,2016,Europe
Mongolia,66.5,35.4,51.5,68.0,36.0,20.6,2016,Asia
Montenegro,39.0,11.2,25.6,31.1,35.2,55.4,2016,Europe
Morocco,39.45,14.0,27.200000000000003,34.85,24.5,49.2,2016,Africa
Myanmar,53.0,20.2,37.2,51.3,26.5,28.3,2016,Asia
Namibia,40.5,18.6,30.0,35.2,34.7,45.1,2016,Africa
Nepal,30.7,4.6,18.2,28.5,16.2,27.9,2016,Asia
Netherlands,73.22,33.82,54.279999999999994,58.239999999999995,81.76,129.32,2016,Europe
New Zealand,77.13333333333334,28.96666666666667,53.98333333333333,71.13333333333333,73.60000000000001,112.66666666666667,2016,Oceania
Nigeria,56.9,30.0,44.0,48.5,44.9,42.6,2016,Africa
North Macedonia,31.4,6.0,19.2,26.65,21.75,50.35,2016,Europe
Norway,105.47999999999999,40.720000000000006,74.36,97.78,115.82000000000001,122.17999999999999,2016,Europe
Oman,55.6,28.3,42.5,51.1,47.0,157.5,2016,Asia
Pakistan,30.2,6.766666666666667,18.933333333333334,28.266666666666666,22.53333333333333,45.199999999999996,2016,Asia
Panama,59.3,34.4,47.4,59.8,57.3,44.2,2016,North America
Paraguay,30.3,8.3,19.7,24.7,22.2,51.0,2016,South America
Peru,41.7,15.6,29.1,38.5,29.3,53.7,2016,South America
Philippines,37.983333333333334,11.933333333333332,25.46666666666667,37.949999999999996,21.55,44.15,2016,Asia
Poland,38.663636363636364,12.963636363636363,26.3,30.827272727272728,31.41818181818182,76.7090909090909,2016,Europe
Portugal,48.5,14.16,32.019999999999996,39.68,38.68,72.88,2016,Europe
Puerto Rico,71.2,25.3,49.1,70.0,63.9,101.7,2016,North America
Qatar,70.0,75.1,72.5,59.4,69.9,144.0,2016,Asia
Romania,35.07,7.889999999999999,22.009999999999998,29.72,27.25,56.279999999999994,2016,Europe
Russia,40.225,18.075,29.575,33.7,43.225,58.525,2016,Europe
