,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
124,Australia,AU,2012,Oceania,H,7682300,22563165,1.77,0.72,2.9,162484,1.94,13.7,0.94,82,3.4,6.5,147098,10.5,237450,123.44,58.4,100.06,111.5,110.44,108.66
125,Austria,AT,2012,Europe,H,82445,8512930,0.52,0,103.3,355,1.44,9.3,0.69,81.1,3.5,9.2,78597,5.1,43797,94.65,41,75.3,80.15,76.95,100.55
126,Azerbaijan,AZ,2012,Asia,UM,82629,9614435,1.49,1.47,116.4,140947,2.34,21,1.08,73.8,11,6.3,60918,0.2,1946,71.2,41,60.4,53.2,68.2,26.4
127,Bahrain,BH,2012,Asia,H,760,1248334,2.65,1.18,1642.5,14694,1.86,14.4,0.92,78.3,12.1,2.6,3271,14.7,18395,71.9,47.2,63,63.6,81,64.7
128,Belarus,BY,2012,Europe,UM,202900,9653837,-0.01,-0.11,47.6,-10654,1.58,12,0.76,72.3,2.9,13.1,126493,1,9328,47.4,15.4,35.9,35.3,53.7,22.2
129,Belgium,BE,2012,Europe,H,30278,11058132,0.82,0.16,365.2,17917,1.79,11.5,0.88,80.2,3.6,9.9,109076,6.6,72667,109.2,38.5,83.75,86.5,109.65,84.4
130,Brazil,BR,2012,South America,UM,8358140,201350896,0.86,0.86,24.1,1726281,1.75,14.5,0.85,74.2,16.2,6,1197743,0.1,12378,82.23,25.96,61.96,55.5,57.11,45.03
131,Bulgaria,BG,2012,Europe,UM,108489,7308614,-0.58,-0.55,67.4,-40032,1.45,9.5,0.7,73.7,9.5,15,109281,-0.3,-2512,52.23,12.7,38,43.47,36.43,33.93
132,Canada,CA,2012,North America,H,9093507,34974489,1.18,0.39,3.8,135273,1.63,10.9,0.79,83.1,4.8,7.1,246596,7.9,277045,98.16,39.81,77.17,95.39,82.39,105.22
133,Chile,CL,2012,South America,H,743812,17067800,0.88,0.85,22.9,144843,1.87,14.3,0.91,78.1,7.6,5.8,98544,0.4,6000,69.9,20.6,52.2,53.5,58.7,45
134,China,CN,2012,Asia,UM,9326410,1355524732,0.62,0.64,145.3,8603649,1.67,13.1,0.77,75.8,11.5,6.8,9210840,-0.2,-216000,53.67,25.27,43.43,61.23,36.97,36.33
135,Colombia,CO,2012,South America,UM,1038700,44381863,0.63,1.14,42.7,506259,2.01,16.7,0.98,76.2,14,5.3,232914,-5.1,-227585,65.45,18.6,48.6,55.25,41.95,22.4
136,Costa Rica,CR,2012,North America,UM,51060,4651136,1.4,1.15,91.1,53343,1.88,15.8,0.92,78.4,8.8,4.3,19981,2.5,11793,71.2,26,54.9,78.6,52.9,38.8
137,Croatia,HR,2012,Europe,H,55974,4389754,-0.32,-0.23,78.4,-9939,1.42,9.5,0.68,74.9,9.7,11.8,51710,-0.9,-3918,68.87,16.63,50.1,56.63,53.2,50.5
138,Cyprus,CY,2012,Europe,H,9241,1138183,1.57,0.5,123.2,5674,1.45,11.4,0.71,78,10,6.4,7335,10.8,12239,91.8,25.7,68,76.4,100.1,65.2
139,Denmark,DK,2012,Europe,H,42434,5592472,0.42,0.1,131.8,5591,1.73,10.4,0.84,80,3.4,9.4,52325,3.2,17605,119.9,57.3,97.35,99.45,135.6,85.7
140,Ecuador,EC,2012,South America,UM,248360,15431709,1.5,1.69,62.1,260532,2.68,21.5,1.31,78.6,12.6,4.7,71820,-1.9,-29254,54.25,10.9,38.65,46.15,39.7,24.9
141,Estonia,EE,2012,Europe,H,42388,1288868,-0.84,-0.11,30.4,-1394,1.58,10.9,0.77,75.8,3.8,12,15450,-7.3,-9450,67,15.8,48.5,52.2,60.7,49.7
142,Finland,FI,2012,Europe,H,303815,5405387,0.47,0.14,17.8,7786,1.81,11,0.89,80.4,2.3,9.6,51707,3.2,17433,103.4,43.5,81.85,90.85,100,94.95
143,France,FR,2012,Europe,H,640427,65634194,0.5,0.39,102.5,258647,2.07,12.6,1.01,81.7,3.4,8.7,570804,1.1,70365,100.44,36.24,77.33,84.57,99.91,83.41
144,Georgia,GE,2012,Asia,LM,69700,4950269,-0.18,0.25,71,12407,1.77,13.2,0.84,75.3,17.8,10.7,52696,-4.3,-21500,57.3,15.8,42.4,40.9,52.5,28.7
145,Germany,DE,2012,Europe,H,348672,81862920,0.2,-0.23,234.8,-191136,1.4,8.2,0.68,80.8,3.4,10.6,864680,4.3,352174,94.65,32.42,72.25,77.42,82.13,105.34
146,Greece,GR,2012,Europe,H,130647,10948200,-0.82,-0.15,83.8,-16297,1.37,9.2,0.66,80.2,2.8,10.7,116668,-6.7,-73809,93.13,18.85,66.4,68.73,89.78,45.8
147,Hungary,HU,2012,Europe,UM,89608,9944323,-0.28,-0.41,111,-40550,1.34,9.2,0.65,74.8,5,13.3,131786,1.3,12972,62.95,13.25,45.05,49,47.85,40.25
148,Iceland,IS,2012,Europe,H,100250,320531,0.71,0.8,3.2,2578,2.04,14.1,1,82.8,1.7,6.1,1955,-1,-319,100.1,31.8,75.5,95.5,90.6,81.2
149,India,IN,2012,Asia,LM,2973193,1251839015,1.23,1.26,421,15790581,2.41,19.8,1.15,68.1,42.4,7.2,8948879,-0.3,-356738,33.61,8.91,24.72,33.38,20.59,57.39
150,Indonesia,ID,2012,Asia,LM,1811569,252247464,1.17,1.29,139.2,3243498,2.43,19.6,1.18,70.5,26.2,6.7,1690929,-1.2,-293082,64.1,28.3,51.2,69.9,39.7,25.6
151,Ireland,IE,2012,Europe,H,68883,4651890,0.47,0.91,67.5,42488,1.96,15.4,0.95,80.8,3.3,6.3,29186,-4.4,-20473,119.6,48.3,93.9,110,113.2,93.5
152,Israel,IL,2012,Asia,H,21497,7660949,1.86,1.64,356.4,125975,3.13,21.6,1.53,81.7,3.4,5.2,39837,2.1,16376,93.8,31.25,71.3,74.45,86,71.35
153,Italy,IT,2012,Europe,H,294140,61303175,0.27,-0.13,208.4,-78697,1.34,8.7,0.65,81.8,3.3,10,612883,4,244556,100.88,40.55,79.18,79.8,101.81,73.5
154,Japan,JP,2012,Asia,H,364485,127250763,-0.19,-0.13,349.1,-164847,1.41,8.5,0.69,83.1,2.3,9.8,1250945,-0.6,-78805,135.2,95.4,120.9,120.4,91.7,90.1
155,Jordan,JO,2012,Asia,UM,88802,7077343,0.93,2.31,79.7,163673,3.46,26.8,1.68,73.6,17.4,3.7,26282,-13.9,-98029,66,14.5,47.4,60.7,51.7,37.8
156,Kazakhstan,KZ,2012,Asia,UM,2699700,17571722,1.4,1.4,6.5,246641,2.61,22.2,1.26,69.9,22.7,8.1,142880,-0.1,-1426,74.6,36.3,60.8,50.6,38.8,32
157,Latvia,LV,2012,Europe,H,62249,2051103,-1.02,-0.45,32.9,-9128,1.41,9.7,0.68,73.4,5.7,14.2,29025,-5.8,-11860,70.8,15.2,50.7,52.6,66.6,34.7
158,Lebanon,LB,2012,Asia,UM,10230,4608680,3.41,0.99,450.5,45816,1.76,15.4,0.86,76.8,8.4,5.4,25067,24.2,111307,88.9,37,70.3,44.5,76.2,25.7
159,Lithuania,LT,2012,Europe,H,62680,2973159,-1.07,-0.35,47.4,-10479,1.59,10.2,0.78,74.1,3.9,13.8,40938,-7.2,-21257,65.6,16.25,47.9,52.4,52.7,33.15
160,Malaysia,MY,2012,Asia,UM,328657,29982958,1.41,1.24,91.2,371938,2.09,17,1.01,75.7,6.3,4.6,136836,1.7,50000,55.45,12.65,40,51.3,32.55,58.25
161,Malta,MT,2012,Europe,H,316,422121,0.9,0.17,1335.8,712,1.43,9.8,0.69,80.9,4.9,8.1,3418,7.4,3106,89.9,26.3,67,70.5,89,80.5
162,Mexico,MX,2012,North America,UM,1943945,117627103,1.4,1.46,60.5,1717991,2.25,19.7,1.1,74.9,13.5,5,592880,-0.6,-71513,58,19,43.97,50.43,48.57,59.03
163,Moldova,MD,2012,Europe,LM,32891,3907889,-0.15,-0.15,118.8,-5703,1.28,11,0.62,69.2,14.7,12.4,48574,0,31,47.8,12.3,35,38.6,40.3,27.6
164,Monaco,MC,2012,Europe,H,2,30523,-0.05,-0.15,15261.5,-45,1.47,6.9,0.72,89.7,1.7,8.4,256,1,31,128.2,173.1,144.3,89.8,138.1,62.3
165,Mongolia,MN,2012,Asia,LM,1553556,2869801,1.49,1.57,1.8,45134,2.31,22.2,1.13,68.3,24.9,6.5,18556,-0.9,-2500,53.9,24,43.1,57.9,37.8,22.6
166,Montenegro,ME,2012,Europe,UM,13452,622079,-0.06,0.25,46.2,1537,1.72,12,0.82,76.4,4.5,9.5,5922,-3.1,-1915,63.95,18.4,47.55,49.05,60.05,37.8
167,Morocco,MA,2012,Africa,LM,716550,33052739,1.18,1.41,46.1,465472,2.52,20.8,1.23,70.8,25.8,6.7,222370,-2.3,-75568,75.5,36.5,61.5,74.5,54.8,15
168,Netherlands,NL,2012,Europe,H,33893,16713096,0.29,0.21,493.1,35146,1.73,10.5,0.85,81,3.6,8.4,140813,0.8,13884,110.8,64.6,94.2,69.9,114.9,88.8
169,New Zealand,NZ,2012,Oceania,H,264537,4336624,0.69,0.72,16.4,31082,2.18,14.1,1.07,81.2,4.1,6.9,30096,-0.3,-1164,103.57,33.93,78.53,97.13,86.77,90.3
170,Nicaragua,NI,2012,North America,LM,119990,5818040,1.39,1.59,48.5,92726,2.21,20.6,1.08,73,19.6,4.7,27119,-2,-11877,46.6,11.1,33.8,45.1,31.3,41.1
171,North Macedonia,MK,2012,Europe,UM,25433,2089228,0.22,0.16,82.1,3434,1.49,11.3,0.72,74.7,9.8,9.6,20134,0.5,1053,46.5,11.7,34,35.2,35.8,34.4
172,Norway,NO,2012,Europe,H,304282,5021107,1.31,0.36,16.5,18263,1.87,12,0.91,81.4,2.5,8.4,41992,9.4,47343,162.75,62.68,126.75,154.08,161.85,85.45
173,Pakistan,PK,2012,Asia,LM,770875,197077122,2.26,2.44,255.7,4807415,4.26,31.7,2.08,66.4,68.7,7.3,1434409,-1.8,-359914,40.1,7.7,28.4,37.3,31.7,23.5
174,Peru,PE,2012,South America,UM,1279996,29666146,0.49,1.58,23.2,469228,2.54,21,1.24,75.6,14.1,5.2,155007,-10.9,-323814,59.5,19.9,45.3,51.4,43.3,34.8
175,Philippines,PH,2012,Asia,LM,298170,96862023,1.58,1.91,324.9,1844941,3.07,24.6,1.5,70.4,24,5.5,536461,-3.3,-317697,45.7,15.08,34.68,45.1,25.8,30.98
176,Poland,PL,2012,Europe,H,304255,38632423,-0.01,0.01,127,3281,1.29,10,0.63,76.9,4.7,9.9,382976,-0.2,-6617,50.6,17.78,38.79,40.25,40.45,60.01
177,Portugal,PT,2012,Europe,H,91470,10591764,-0.52,-0.17,115.8,-17771,1.29,8.5,0.63,79.9,3.3,10.2,107612,-3.5,-37352,73.67,21.87,55.07,59.93,52.9,56.37
178,Puerto Rico,PR,2012,North America,H,8869,3636205,-1.19,0.25,410,9071,1.55,10.7,0.75,79.1,9.3,8.2,29826,-14.4,-52381,90.8,31.2,69.3,69.3,73.7,30.5
179,Qatar,QA,2012,Asia,H,11586,1952262,4.94,0.88,168.5,17191,1.94,10.3,0.96,77.9,7.8,1.5,2854,40.6,79189,84.7,63.5,77.1,81.6,70.8,153
180,Romania,RO,2012,Europe,UM,229891,20252280,-0.63,-0.27,88.1,-54442,1.48,9.9,0.72,74.8,9.1,12.6,255539,-3.6,-73379,50.82,12.25,36.93,41.57,36.17,35.98
181,Saudi Arabia,SA,2012,Asia,H,2149690,29493088,2.33,1.59,13.7,468143,2.44,19,1.19,74.3,15.3,3.1,91154,7.4,217665,112,19.9,78.9,138.4,41.6,70.5
182,Serbia,RS,2012,Europe,UM,77474,7159029,-0.49,-0.49,92.4,-35143,1.43,9.4,0.7,74.4,6.1,14.3,102400,0,0,51.27,12.87,37.43,36.07,44.53,31.73
183,Singapore,SG,2012,Asia,H,709,5318078,1.28,0.81,7500.8,42901,1.29,11.5,0.63,83.8,1.8,3.5,18332,4.7,25000,96.1,90.7,94.1,82.8,65.1,93.3
184,Slovenia,SI,2012,Europe,H,20151,2092758,0.16,0.13,103.9,2681,1.56,10.5,0.76,79.8,3.4,9.2,19257,0.3,644,75.3,28.35,58.4,59.3,59.45,54.55
185,South Africa,ZA,2012,Africa,UM,1214470,52995725,1.19,1.29,43.6,685787,2.43,21.4,1.2,65.8,31,8.4,447450,-1.1,-56663,74.2,38.3,61.3,59.7,55.4,89.4
186,Spain,ES,2012,Europe,H,498980,46444355,-0.2,0.11,93.1,51698,1.36,9.8,0.66,81.9,3,8.7,402950,-3.1,-142553,85.31,29,65.04,61.74,83.11,87.43
187,Sweden,SE,2012,Europe,H,410335,9573255,0.76,0.22,23.3,21239,1.89,11.8,0.92,81.7,2.6,9.6,91938,5.4,51312,106.7,34.37,80.67,90.13,116.63,99.07
188,Switzerland,CH,2012,Europe,H,39997,8077542,0.66,0.22,202,17991,1.48,10.2,0.71,82.6,3.4,7.9,64173,4.3,35096,145.33,70.9,118.55,139,118.35,128.3
189,Thailand,TH,2012,Asia,UM,510890,67045539,0.54,0.46,131.2,305479,1.56,11.7,0.76,74.4,8.6,7.2,481326,0.8,56258,52.6,26.4,43.2,63.5,29.7,29.5
190,Ukraine,UA,2012,Europe,LM,579330,45491540,-0.17,-0.31,78.5,-140899,1.55,11.5,0.75,70.9,8.5,14.6,663139,1.4,61844,59.9,31.7,49.7,41.8,61.9,27.8
191,United Arab Emirates,AE,2012,Asia,H,83600,8606553,3.67,0.92,102.9,79190,1.64,10.4,0.81,77.8,6.6,1.2,10388,27.5,236384,84.6,74.35,80.9,69.45,85.5,142.25
192,United Kingdom,GB,2012,Europe,H,241930,63448099,0.68,0.4,262.3,252407,2,12.8,0.97,81,4.1,8.8,560518,2.8,176823,104.57,42.94,82.4,88.53,103.12,95.2
193,United States,US,2012,North America,H,9151125,313877662,0.74,0.45,34.3,1409557,--,12.6,--,--,--,8.1,2543284,2.7,859362,89.79,48.14,74.79,82.2,73.58,117.26
194,Uruguay,UY,2012,South America,H,175015,3318165,0.25,0.4,19,13103,1.87,13.4,0.92,76.6,9.7,9.5,31362,-1.5,-4800,83.6,26.2,62.9,66.7,68.8,30.2
195,Vietnam,VN,2012,Asia,LM,310070,92697293,1.24,1.27,299,1179505,2.05,18.2,0.97,74,17.6,5.5,509176,-0.3,-31090,44.45,35.3,41.15,49.4,27.95,33
196,Albania,AL,2013,Europe,UM,27398,3017282,0.32,0.65,110.1,19500,1.49,12.5,0.71,78.6,11.8,6.1,18263,-3.3,-10000,53.6,12,33.7,46.3,37.7,32
197,Angola,AO,2013,Africa,UM,1246700,25353587,3.75,3.59,20.3,910439,6.39,46.2,3.15,58.6,75.1,10.3,261569,1.6,40195,152.2,140.4,146.5,174.6,120.3,49.6
198,Argentina,AR,2013,South America,UM,2736690,42635451,1,1.01,15.6,428806,2.34,17.7,1.14,76.5,10.9,7.6,325797,-0.1,-4678,70.45,18.3,45.4,63.9,64.3,51.15
199,Armenia,AM,2013,Asia,LM,28203,3064086,-0.1,0.49,108.6,15103,1.63,14.2,0.76,73.9,14.8,9.3,28394,-6,-18249,51.3,18.9,35.7,35.2,48.3,21.7
200,Australia,AU,2013,Oceania,H,7682300,22946421,1.6,0.7,3,160387,1.89,13.4,0.92,82.3,3.5,6.4,147678,9,206190,130.21,69.52,101.1,123.46,118.82,101.87
201,Austria,AT,2013,Europe,H,82445,8562327,0.64,0,103.9,-87,1.44,9.3,0.7,81.2,3.5,9.3,79845,6.4,54728,92.85,38.05,66.55,86.7,75.5,92.85
202,Azerbaijan,AZ,2013,Asia,UM,82629,9752254,1.36,1.34,118,130396,2.22,19.7,1.03,74,11,6.3,61205,0.2,2348,78.2,41.9,60.8,67.9,64.8,20.5
203,Bahrain,BH,2013,Asia,H,760,1281297,2.56,1.15,1685.9,14735,1.83,14.1,0.9,78.5,11.9,2.6,3382,14.1,18100,90.5,31.2,62,113.4,76.7,72.5
204,Bangladesh,BD,2013,Asia,L,130170,151383334,1.05,1.44,1163,2186416,2.29,19.7,1.12,72.4,37.6,5.3,796335,-4,-603105,48.5,9.6,29.8,45.3,27.2,38.4
205,Belarus,BY,2013,Europe,UM,202900,9655326,0.05,-0.08,47.6,-7339,1.63,12.2,0.79,72.7,2.9,13,125290,1.2,11644,51.4,15.1,34,42.5,59.2,29.1
206,Belgium,BE,2013,Europe,H,30278,11147559,0.79,0.16,368.2,17681,1.79,11.5,0.87,80.4,3.5,9.9,110045,6.3,70588,113.95,41.85,79.3,95.5,118.2,93
207,Botswana,BW,2013,Africa,UM,566730,2078279,1.63,1.32,3.7,27480,2.77,23.8,1.36,60.8,34.7,10.5,21900,3.1,6397,53,16.2,35.3,47.2,37.7,55.8
208,Brazil,BR,2013,South America,UM,8358140,203079584,0.85,0.84,24.3,1703540,1.74,14.4,0.85,74.5,15.5,6,1213113,0.1,15178,72.52,24.66,49.57,55.36,53.86,53.01
209,Bulgaria,BG,2013,Europe,UM,108489,7267962,-0.53,-0.52,67,-37651,1.44,9.2,0.7,74.2,8.9,14.4,104345,-0.2,-1108,53.2,12.95,33.9,46.75,38.55,39.05
210,Cambodia,KH,2013,Asia,L,176515,14807531,1.08,1.93,83.9,285984,2.68,25.5,1.31,68.1,36.7,6.2,91562,-8.5,-126457,57.9,14.3,37,66.3,27.5,15.4
211,Canada,CA,2013,North America,H,9093507,35386802,1.17,0.36,3.9,127985,1.6,10.8,0.78,83.2,4.9,7.1,252338,8,284323,100.07,40.58,71.53,102.41,84.61,107.59
212,Chile,CL,2013,South America,H,743812,17217196,0.86,0.82,23.1,141948,1.85,14.1,0.91,78.3,7.5,5.9,100683,0.4,6000,68.9,22.9,46.8,57.3,56.6,53.9
213,China,CN,2013,Asia,UM,9326410,1362866209,0.46,0.48,146.1,6508305,1.46,11.6,0.68,76.2,10.6,6.8,9272652,-0.2,-213000,75.15,34.5,55.65,82.3,46.4,37.05
214,Colombia,CO,2013,South America,UM,1038700,44640800,0.54,1.11,43,495467,1.98,16.4,0.96,76.6,13.7,5.3,234199,-5.7,-256267,60.95,17,39.85,53.3,40,30.35
215,Costa Rica,CR,2013,North America,UM,51060,4712629,1.23,1.07,92.3,50315,1.8,15,0.88,78.8,8.4,4.3,20235,1.6,7536,70.5,22.4,47.4,77.3,56,38.1
216,Croatia,HR,2013,Europe,H,55974,4375160,-0.35,-0.24,78.2,-10447,1.37,9.1,0.66,75.4,9.6,11.5,50386,-1.1,-4884,74.17,16.93,46.7,65.17,52.73,46.37
217,Cyprus,CY,2013,Europe,H,9241,1155556,1.53,0.5,125,5734,1.46,11.4,0.71,78.2,9.9,6.5,7487,10.3,11916,101.45,26.85,65.65,87.65,104.95,71.25
218,Denmark,DK,2013,Europe,H,42434,5617172,0.47,0.06,132.4,3402,1.67,10,0.82,80.2,3.4,9.3,52471,4.1,22802,125,50,89,109.9,139.1,97.25
219,Dominican Republic,DO,2013,North America,UM,48320,9803276,1.13,1.36,202.9,133454,2.4,20,1.18,69.8,26.2,6.4,62904,-2.3,-22613,63.4,16.6,41,63.2,43,51.9
220,Ecuador,EC,2013,South America,UM,248360,15659275,1.43,1.64,63.1,256236,2.6,20.9,1.27,79.2,12.4,4.6,71399,-2.1,-32381,45.85,13.9,30.5,48.2,25.35,24.8
221,Estonia,EE,2013,Europe,H,42388,1279726,-0.58,-0.14,30.2,-1772,1.59,10.8,0.77,76,3.8,12.2,15583,-4.4,-5670,74.2,17.8,47.1,64.2,59.6,52.4
222,Ethiopia,ET,2013,Africa,L,1096570,89335550,2.79,2.76,81.5,2460902,4.61,34.9,2.27,63.9,48.3,7.4,657597,0.4,35085,59.8,24.3,42.8,62.5,26.1,11.5
223,Finland,FI,2013,Europe,H,303815,5430351,0.46,0.12,17.9,6662,1.75,10.7,0.85,80.7,2.3,9.5,51472,3.3,18048,110.4,44.5,78.8,105.1,108.95,96.75
224,France,FR,2013,Europe,H,640427,65972844,0.53,0.38,103,250493,2.05,12.4,1,82,3.3,8.6,570130,1.5,97795,109.86,42.4,77.48,101.24,108.4,100.54
225,Georgia,GE,2013,Asia,LM,69700,4946331,0.03,0.08,71,3823,1.86,13.8,0.89,72.3,22.6,13.1,64642,-0.5,-2606,55.5,16.4,36.7,46.4,48.2,28.1
226,Germany,DE,2013,Europe,H,348672,82056877,0.28,-0.25,235.3,-206511,1.41,8.3,0.69,80.7,3.4,10.8,888580,5.3,433386,94.63,36.47,66.7,82.11,82.84,119.49
227,Greece,GR,2013,Europe,H,130647,10872247,-0.57,-0.16,83.2,-17660,1.31,8.7,0.64,80.8,3.5,10.3,111794,-4.1,-44139,90.97,18.7,56.27,72.67,88.93,46
228,Hungary,HU,2013,Europe,UM,89608,9919643,-0.22,-0.4,110.7,-39152,1.34,9,0.65,75.3,4.9,13,128749,1.8,17372,63.75,12.35,39.1,52.05,47.35,42.55
229,Iceland,IS,2013,Europe,H,100250,323744,1.29,0.79,3.2,2569,2.04,14.1,1,82.9,1.7,6.2,1996,4.9,1598,111.6,39.1,76.8,115,98,77
230,India,IN,2013,Asia,LM,2973193,1267220075,1.21,1.24,426.2,15649618,2.37,19.4,1.13,68.6,40.7,7.1,8936228,-0.3,-321340,31.92,7.81,20.34,33.15,19.09,62.53
231,Indonesia,ID,2013,Asia,LM,1811569,255144559,1.12,1.23,140.8,3138124,2.38,19,1.16,70.8,25.2,6.7,1713596,-1.2,-294351,57.6,26.3,42.6,62.9,28.9,31.3
232,Ireland,IE,2013,Europe,H,68883,4677112,0.61,0.84,67.9,39450,1.9,14.7,0.93,81.1,3.5,6.3,29504,-2.4,-11021,113.43,41.97,79.17,108.5,106.9,94.03
233,Israel,IL,2013,Asia,H,21497,7803834,1.84,1.62,363,126502,3.1,21.3,1.51,82.1,3.2,5.1,39799,2.2,16917,94.07,34.7,65.57,77.8,95.73,72.83
234,Italy,IT,2013,Europe,H,294140,61433746,0.16,-0.14,208.9,-86435,1.31,8.4,0.64,82.3,3.2,9.8,600743,3,181719,105.71,41.54,74.91,91.56,107.31,67.04
235,Japan,JP,2013,Asia,H,364485,127038622,-0.14,-0.15,348.5,-195009,1.43,8.5,0.7,83.3,2.2,10,1269270,0.1,14378,121.7,71.4,97.6,121.8,76.8,85.6
236,Jordan,JO,2013,Asia,UM,88802,7845361,18.74,2.08,88.3,163349,3.2,24.5,1.55,73.8,17,3.6,28486,166.6,1307042,67.9,15.7,42.8,59.9,58.2,38.2
237,Kazakhstan,KZ,2013,Asia,UM,2699700,17820975,1.42,1.42,6.6,253571,2.6,21.9,1.26,71,21.1,7.6,135950,0,-280,65.8,26.9,47.1,50.4,68,36.4
238,Kenya,KE,2013,Africa,L,569140,45488358,2.52,2.59,79.9,1176803,4.08,32.1,2.02,65.7,37.6,6.3,284315,-0.7,-29985,61.1,23.3,43,63.3,35.5,28.5
239,Kuwait,KW,2013,Asia,H,17818,2695800,1.79,1.85,151.3,49964,2.57,20.6,1.26,77.5,8.6,2.1,5628,-0.6,-1644,90.5,42.5,67.5,86.4,110.7,57.4
240,Latvia,LV,2013,Europe,H,62249,2029430,-1.1,-0.4,32.6,-8095,1.49,10.2,0.73,73.8,5.5,14.1,28691,-7,-14262,69.9,18,45,57.8,59.5,44.8
241,Lebanon,LB,2013,Asia,UM,10230,5145013,17.8,0.98,502.9,50495,1.75,15,0.85,77,8.3,5.2,26864,168.1,865049,79.3,41.7,61.2,59.2,77.4,42.2
242,Lithuania,LT,2013,Europe,H,62680,2943358,-0.95,-0.38,47,-11059,1.58,10.2,0.77,74.2,3.9,13.9,40944,-5.7,-16807,66.85,16.5,42.7,57.75,43.7,40.3
243,Luxembourg,LU,2013,Europe,H,2586,545475,2.32,0.42,210.9,2293,1.61,11.2,0.78,82.4,3.4,7,3822,19,10348,124.4,68.3,97.4,111.8,131,137.6
244,Malaysia,MY,2013,Asia,UM,328657,30399783,1.35,1.19,92.5,361712,2.03,16.6,0.98,75.7,6.3,4.7,142202,1.6,50000,56.16,16.1,36.96,53.86,30.5,55.22
245,Malta,MT,2013,Europe,H,316,426039,0.94,0.19,1348.2,796,1.38,9.5,0.66,81.8,5.6,7.6,3236,7.6,3224,91.7,24.3,59.4,78.9,84.4,95.1
246,Mexico,MX,2013,North America,UM,1943945,119228748,1.31,1.4,61.3,1663764,2.2,19.1,1.07,75,13.4,5.1,611379,-0.9,-106951,55.53,16.78,36.9,52.6,41.15,69.33
247,Moldova,MD,2013,Europe,LM,32891,3901481,-0.18,-0.2,118.6,-7910,1.24,10.5,0.6,69.2,14.6,12.6,49009,0.2,765,47.2,12.9,30.8,38.3,38,24.9
248,Mongolia,MN,2013,Asia,LM,1553556,2911859,1.43,1.51,1.9,43981,2.27,21.5,1.1,68.7,24.4,6.4,18694,-0.9,-2500,63.8,28.3,46.8,70,42.6,27.6
249,Morocco,MA,2013,Africa,LM,716550,33440544,1.15,1.38,46.7,461438,2.5,20.5,1.22,71.2,24.7,6.7,223964,-2.3,-75734,49.4,27.6,39,39.2,37.7,23.8
250,Nepal,NP,2013,Asia,L,143351,27907012,1.43,1.59,194.7,443672,2.4,21.7,1.16,69.8,32.1,5.8,161534,-1.6,-45237,38.5,4.1,22,36.9,24.7,22.2
251,Netherlands,NL,2013,Europe,H,33893,16762211,0.29,0.18,494.6,30096,1.69,10.2,0.82,81.2,3.7,8.4,141245,1.1,19104,107.58,53.18,81.48,84.82,114.52,96.44
252,New Zealand,NZ,2013,Oceania,H,264537,4377391,1.18,0.67,16.5,29149,2.08,13.4,1.01,81.7,3.7,6.8,29568,5.1,22468,116.5,46.03,82.7,112.3,99.13,87.13
253,Nigeria,NG,2013,Africa,LM,910768,179546969,2.59,2.64,197.1,4730820,5.21,37.5,2.53,56.3,73.6,11.2,2002647,-0.5,-88052,99.9,25.3,64.1,104.6,71.3,26.8
254,North Macedonia,MK,2013,Europe,UM,25433,2094132,0.25,0.19,82.3,3930,1.47,11.1,0.7,75.2,9.8,9.2,19208,0.7,1391,53.6,12.7,33.9,42,38.1,31.2
255,Norway,NO,2013,Europe,H,304282,5082802,1.14,0.35,16.7,17713,1.8,11.6,0.88,81.7,2.4,8.1,41282,7.9,40073,177.83,74.1,128.08,163.2,193.78,90.7
256,Oman,OM,2013,Asia,H,309500,3147449,2.04,2.09,10.2,65872,2.86,24.3,1.4,74.8,17.4,3.4,10734,-0.5,-1563,59.6,36.2,48.3,58.1,50.2,138.9
257,Pakistan,PK,2013,Asia,LM,770875,201581954,2.26,2.42,261.5,4878807,4.2,31.3,2.05,66.8,67,7.1,1436210,-1.6,-316643,36.37,8.3,22.87,32.67,29.87,28.07
258,Panama,PA,2013,North America,UM,74340,3654178,1.63,1.5,49.2,54780,2.57,20.2,1.25,77.3,16,5.2,19044,1.3,4615,59.7,36.5,48.6,61.4,47.3,42.5
259,Paraguay,PY,2013,South America,LM,397302,6619307,1.23,1.23,16.7,81684,2.01,16.9,0.98,76.5,28.3,4.6,30400,-0.1,-504,52.5,11.1,32.6,49.5,36.3,39.3
260,Peru,PE,2013,South America,UM,1279996,29806584,0.45,1.54,23.3,457697,2.5,20.6,1.22,75.8,13.4,5.3,157075,-10.8,-322234,55.6,23.5,40.2,49.5,40.2,41.8
261,Philippines,PH,2013,Asia,LM,298170,98448417,1.67,1.86,330.2,1825807,3.02,24.1,1.47,70.5,23.7,5.6,548037,-1.8,-180261,50.13,18.43,34.93,50.3,27.75,24.7
