,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
29,Latvia,LV,2010,Europe,UM,62249,2115339,-2.26,-0.49,34,-10259,1.33,9.4,0.64,72.6,5.3,14.2,30040,-17.8,-37640,68.2,31.8,51.9,37.4,50.9,38.3
30,Lithuania,LT,2010,Europe,UM,62680,3088773,-3.09,-0.37,49.3,-11444,1.49,9.9,0.73,73.3,4.9,13.6,42120,-27.2,-84113,50.1,28.7,40.5,57.4,36.3,43.3
31,Malaysia,MY,2010,Asia,UM,328657,29062898,1.95,1.24,88.4,360684,2.14,17.1,1.03,74.9,6.7,4.7,135463,7.1,205235,37.5,13.9,27,51,31.4,61.7
32,Mexico,MX,2010,North America,UM,1943945,114222072,1.51,1.55,58.8,1771471,2.36,20.6,1.15,74.5,14.1,5.1,577844,-0.4,-41583,50.1,23.9,38.45,49.3,44.85,46.75
33,Montenegro,ME,2010,Europe,UM,13452,622553,0.01,0.29,46.3,1785,1.68,11.9,0.82,76.4,6.2,9.1,5633,-2.7,-1697,61.1,11.8,39.1,53.8,59.2,29.7
34,Netherlands,NL,2010,Europe,H,33893,16573785,0.49,0.29,489,48339,1.8,11.1,0.89,80.7,3.8,8.2,136058,2,33082,125.5,64.9,98.4,81.85,122.35,83.4
35,Norway,NO,2010,Europe,H,304282,4891301,1.27,0.41,16.1,19943,1.96,12.6,0.96,81,2.8,8.5,41499,8.7,42346,161.05,87,127.95,161.65,181.45,64
36,Paraguay,PY,2010,South America,LM,397302,6372088,1.31,1.32,16,83903,2.16,17.7,1.05,75.9,30.1,4.6,29052,-0.1,-504,53.6,11.2,34.7,40.5,31.9,19.5
37,Poland,PL,2010,Europe,H,304255,38616395,0.07,0.07,126.9,28360,1.37,10.7,0.66,76.2,5,10,384940,-0.1,-2114,56.87,31.17,45.37,44.13,50.1,49.23
38,Portugal,PT,2010,Europe,H,91470,10650026,-0.01,-0.04,116.4,-4572,1.34,9.5,0.66,79.5,2.5,10,105953,0.4,3815,85.4,31.5,61.3,48.9,67.7,51.2
39,Romania,RO,2010,Europe,UM,229891,20532547,-0.68,-0.23,89.3,-47527,1.48,10.3,0.72,73.9,9.6,12.7,259723,-4.5,-91324,45.63,21.33,34.8,41.77,39.43,28.87
40,Serbia,RS,2010,Europe,UM,77474,7233391,-0.51,-0.48,93.4,-34907,1.43,9.4,0.7,74,6.6,14.3,103211,-0.3,-2000,63.25,25.9,46.55,50.1,60.85,35.15
41,Singapore,SG,2010,Asia,H,709,5189542,1.18,0.7,7319.5,36436,1.15,10.4,0.56,83.2,1.8,3.4,17529,4.8,25000,65.9,71.8,68.6,100.3,56.4,76.8
42,Slovenia,SI,2010,Europe,H,20151,2084182,0.15,0.18,103.4,3734,1.56,10.7,0.76,79.4,3.5,8.9,18609,-0.3,-521,76,45.1,62.2,63.7,62.5,54.4
43,South Africa,ZA,2010,Africa,UM,1214470,51838789,0.88,1.22,42.7,630020,2.44,21.3,1.21,63.5,36,9.2,475217,-3.4,-176189,61.1,39.8,51.6,52,43.2,52
44,Spain,ES,2010,Europe,H,498980,46412492,0.13,0.23,93,104477,1.4,10.5,0.67,81.8,3.2,8.2,382047,-0.9,-42675,92.14,49.86,73.25,69.03,83.09,51.89
45,Sweden,SE,2010,Europe,H,410335,9432308,0.8,0.27,23,25154,1.97,12.3,0.96,81.5,2.6,9.6,90487,5.3,49948,111,27.1,73.5,94.8,87.9,105.8
46,Switzerland,CH,2010,Europe,H,39997,7937497,1.69,0.22,198.5,17641,1.46,10.1,0.71,82.1,4,7.9,62649,14.7,116761,127.35,102,116.05,132.65,134.5,124.9
47,Thailand,TH,2010,Asia,UM,510890,66271488,0.61,0.5,129.7,330440,1.58,12.2,0.77,73.5,9.4,7.2,476224,1.1,70273,36.6,21.6,29.9,51.3,28.2,30.8
48,Ukraine,UA,2010,Europe,LM,579330,45768171,-0.4,-0.44,79,-200546,1.44,10.9,0.7,70,9,15.3,698235,0.4,16133,34.43,22.53,29.1,23.47,45,34.9
49,United Arab Emirates,AE,2010,Asia,H,83600,8020877,3.36,0.87,95.9,70030,1.57,9.9,0.78,77.4,7.2,1.2,9595,24.9,199528,78.65,104.15,90.05,64.9,108.6,72.75
50,United Kingdom,GB,2010,Europe,H,241930,62502490,0.81,0.41,258.3,253186,2.01,12.9,0.98,80.5,4.4,8.9,554064,4,251644,109.4,81.03,96.7,99,98.17,80.53
